"","Species_Jetz","Species_eBird","Species_BirdLife","Family_eBird","CommonName_eBird","aveUAI","SciName_MUTI","MUTIscore","SciName_UN","Urban"
"39","Anser indicus","Anser indicus","Anser indicus","Anatidae (Ducks, Geese, and Waterfowl)","Bar-headed Goose",0.8575388156,NA,NA,NA,NA
"40","Chen caerulescens","Anser caerulescens","Anser caerulescens","Anatidae (Ducks, Geese, and Waterfowl)","Snow Goose",1.61214412559091,NA,NA,NA,NA
"41","Chen rossii","Anser rossii","Anser rossii","Anatidae (Ducks, Geese, and Waterfowl)","Ross's Goose",1.68849027738462,NA,NA,NA,NA
"42","Anser anser","Anser anser","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Graylag Goose",1.4097267212,NA,NA,NA,NA
"43","Anser cygnoides","Anser cygnoides","Anser cygnoid","Anatidae (Ducks, Geese, and Waterfowl)","Swan Goose",2.7788980755,NA,NA,NA,NA
"44","Anser albifrons","Anser albifrons","Anser albifrons","Anatidae (Ducks, Geese, and Waterfowl)","Greater White-fronted Goose",1.42249683103704,NA,NA,NA,NA
"45","Anser fabalis","Anser fabalis","Anser fabalis","Anatidae (Ducks, Geese, and Waterfowl)","Taiga Bean-Goose",1.70866929575,NA,NA,NA,NA
"46","Anser brachyrhynchus","Anser brachyrhynchus","Anser brachyrhynchus","Anatidae (Ducks, Geese, and Waterfowl)","Pink-footed Goose",1.67081229325,NA,NA,NA,NA
"47","Branta bernicla","Branta bernicla","Branta bernicla","Anatidae (Ducks, Geese, and Waterfowl)","Brant",1.7208463845,NA,NA,"Branta bernicla","N"
"48","Branta leucopsis","Branta leucopsis","Branta leucopsis","Anatidae (Ducks, Geese, and Waterfowl)","Barnacle Goose",1.359123395,NA,NA,"Branta leucopsis","N"
"49","Branta hutchinsii","Branta hutchinsii","Branta hutchinsii","Anatidae (Ducks, Geese, and Waterfowl)","Cackling Goose",2.05030496123529,NA,NA,NA,NA
"50","Branta canadensis","Branta canadensis","Branta canadensis","Anatidae (Ducks, Geese, and Waterfowl)","Canada Goose",2.04034880660606,"Branta canadensis",1.477478833,"Branta canadensis","U"
"51","Branta sandvicensis","Branta sandvicensis","Branta sandvicensis","Anatidae (Ducks, Geese, and Waterfowl)","Hawaiian Goose",0.353057482,NA,NA,NA,NA
"52","Cereopsis novaehollandiae","Cereopsis novaehollandiae","Cereopsis novaehollandiae","Anatidae (Ducks, Geese, and Waterfowl)","Cape Barren Goose",0.34858631225,NA,NA,NA,NA
"53","Stictonetta naevosa","Stictonetta naevosa","Stictonetta naevosa","Anatidae (Ducks, Geese, and Waterfowl)","Freckled Duck",1.49676055283333,NA,NA,NA,NA
