"","Species_Jetz","Species_eBird","Species_BirdLife","Family_eBird","CommonName_eBird","aveUAI","SciName_MUTI","MUTIscore","SciName_UN","Urban"
"525","Apus niansae","Apus niansae","Apus niansae","Apodidae (Swifts)","Nyanza Swift",2.253967329,NA,NA,NA,NA
"526","Apus pallidus","Apus pallidus","Apus pallidus","Apodidae (Swifts)","Pallid Swift",2.98607828533333,NA,NA,NA,NA
"527","Apus barbatus","Apus barbatus","Apus barbatus","Apodidae (Swifts)","African Swift",1.80129755266667,NA,NA,NA,NA
"528","Apus berliozi","Apus berliozi","Apus berliozi","Apodidae (Swifts)","Forbes-Watson's Swift",1.395859953,NA,NA,NA,NA
"529","Apus balstoni","Apus balstoni","Apus balstoni","Apodidae (Swifts)","Malagasy Swift",1.49712158,NA,NA,NA,NA
"530","Apus pacificus","Apus pacificus","Apus pacificus","Apodidae (Swifts)","Pacific Swift",1.777402945,NA,NA,NA,NA
"531","Apus affinis","Apus affinis","Apus affinis","Apodidae (Swifts)","Little Swift",2.01079770793333,NA,NA,NA,NA
"532","Apus nipalensis","Apus nipalensis","Apus nipalensis","Apodidae (Swifts)","House Swift",2.75360201222222,NA,NA,NA,NA
"533","Apus caffer","Apus caffer","Apus caffer","Apodidae (Swifts)","White-rumped Swift",1.9236519665,NA,NA,NA,NA
"534","Aeronautes saxatalis","Aeronautes saxatalis","Aeronautes saxatalis","Apodidae (Swifts)","White-throated Swift",1.25252826755556,"Aeronautes saxatalis",1.647310084,NA,NA
"535","Aeronautes montivagus","Aeronautes montivagus","Aeronautes montivagus","Apodidae (Swifts)","White-tipped Swift",1.05428883833333,NA,NA,NA,NA
"536","Aeronautes andecolus","Aeronautes andecolus","Aeronautes andecolus","Apodidae (Swifts)","Andean Swift",0.490059625,NA,NA,NA,NA
"537","Panyptila cayennensis","Panyptila cayennensis","Panyptila cayennensis","Apodidae (Swifts)","Lesser Swallow-tailed Swift",1.174778527,NA,NA,NA,NA
"538","Cypsiurus balasiensis","Cypsiurus balasiensis","Cypsiurus balasiensis","Apodidae (Swifts)","Asian Palm Swift",1.8787385644,NA,NA,NA,NA
"539","Cypsiurus parvus","Cypsiurus parvus","Cypsiurus parvus","Apodidae (Swifts)","African Palm Swift",1.7505914342,NA,NA,NA,NA
"540","Tachornis phoenicobia","Tachornis phoenicobia","Tachornis phoenicobia","Apodidae (Swifts)","Antillean Palm Swift",2.476406877,NA,NA,NA,NA
"541","Tachornis squamata","Tachornis squamata","Tachornis squamata","Apodidae (Swifts)","Fork-tailed Palm Swift",2.0254252275,NA,NA,NA,NA
"542","Hemiprocne longipennis","Hemiprocne longipennis","Hemiprocne longipennis","Hemiprocnidae (Treeswifts)","Gray-rumped Treeswift",3.283409562,NA,NA,NA,NA
"543","Hemiprocne comata","Hemiprocne comata","Hemiprocne comata","Hemiprocnidae (Treeswifts)","Whiskered Treeswift",0.853723473,NA,NA,NA,NA
"544","Florisuga mellivora","Florisuga mellivora","Florisuga mellivora","Trochilidae (Hummingbirds)","White-necked Jacobin",0.4458849685,NA,NA,NA,NA
"545","Florisuga fusca","Florisuga fusca","Florisuga fusca","Trochilidae (Hummingbirds)","Black Jacobin",2.6079034865,NA,NA,NA,NA
"546","Eutoxeres aquila","Eutoxeres aquila","Eutoxeres aquila","Trochilidae (Hummingbirds)","White-tipped Sicklebill",0.232366776,NA,NA,NA,NA
"547","Ramphodon naevius","Ramphodon naevius","Ramphodon naevius","Trochilidae (Hummingbirds)","Saw-billed Hermit",1.621991531,NA,NA,NA,NA
"548","Glaucis hirsutus","Glaucis hirsutus","Glaucis hirsutus","Trochilidae (Hummingbirds)","Rufous-breasted Hermit",1.079467043,NA,NA,NA,NA
"549","Threnetes ruckeri","Threnetes ruckeri","Threnetes ruckeri","Trochilidae (Hummingbirds)","Band-tailed Barbthroat",0.263438749,NA,NA,NA,NA
"550","Phaethornis hispidus","Phaethornis hispidus","Phaethornis hispidus","Trochilidae (Hummingbirds)","White-bearded Hermit",0.022109601,NA,NA,NA,NA
"551","Phaethornis yaruqui","Phaethornis yaruqui","Phaethornis yaruqui","Trochilidae (Hummingbirds)","White-whiskered Hermit",0.006318707,NA,NA,NA,NA
"552","Phaethornis guy","Phaethornis guy","Phaethornis guy","Trochilidae (Hummingbirds)","Green Hermit",0.417096313666667,NA,NA,NA,NA
"553","Phaethornis longirostris","Phaethornis longirostris","Phaethornis longirostris","Trochilidae (Hummingbirds)","Long-billed Hermit",0.371814247333333,NA,NA,NA,NA
"554","Phaethornis longirostris","Phaethornis mexicanus","Phaethornis mexicanus","Trochilidae (Hummingbirds)","Mexican Hermit",0.289388792,NA,NA,NA,NA
"555","Phaethornis anthophilus","Phaethornis anthophilus","Phaethornis anthophilus","Trochilidae (Hummingbirds)","Pale-bellied Hermit",0.509822061,NA,NA,NA,NA
"556","Phaethornis striigularis","Phaethornis striigularis","Phaethornis striigularis","Trochilidae (Hummingbirds)","Stripe-throated Hermit",0.3843663695,NA,NA,NA,NA
"557","Phaethornis griseogularis","Phaethornis griseogularis","Phaethornis griseogularis","Trochilidae (Hummingbirds)","Gray-chinned Hermit",0.411575498,NA,NA,NA,NA
"558","Phaethornis ruber","Phaethornis ruber","Phaethornis ruber","Trochilidae (Hummingbirds)","Reddish Hermit",1.590311337,NA,NA,NA,NA
"559","Phaethornis stuarti","Phaethornis stuarti","Phaethornis stuarti","Trochilidae (Hummingbirds)","White-browed Hermit",0.01935075,NA,NA,NA,NA
"560","Phaethornis augusti","Phaethornis augusti","Phaethornis augusti","Trochilidae (Hummingbirds)","Sooty-capped Hermit",1.102113245,NA,NA,NA,NA
"561","Phaethornis pretrei","Phaethornis pretrei","Phaethornis pretrei","Trochilidae (Hummingbirds)","Planalto Hermit",1.080743329,NA,NA,NA,NA
"562","Phaethornis eurynome","Phaethornis eurynome","Phaethornis eurynome","Trochilidae (Hummingbirds)","Scale-throated Hermit",1.009640224,NA,NA,NA,NA
"563","Schistes geoffroyi","Schistes albogularis","Schistes albogularis","Trochilidae (Hummingbirds)","White-throated Daggerbill",0.007128459,NA,NA,NA,NA
"564","Schistes geoffroyi","Schistes geoffroyi","Schistes geoffroyi","Trochilidae (Hummingbirds)","Geoffroy's Daggerbill",0,NA,NA,NA,NA
"565","Colibri serrirostris","Colibri serrirostris","Colibri serrirostris","Trochilidae (Hummingbirds)","White-vented Violetear",1.03376637866667,NA,NA,NA,NA
"566","Colibri coruscans","Colibri coruscans","Colibri coruscans","Trochilidae (Hummingbirds)","Sparkling Violetear",1.52470917125,NA,NA,NA,NA
"567","Colibri delphinae","Colibri delphinae","Colibri delphinae","Trochilidae (Hummingbirds)","Brown Violetear",1.4864866375,NA,NA,NA,NA
"568","Colibri thalassinus","Colibri thalassinus","Colibri thalassinus","Trochilidae (Hummingbirds)","Mexican Violetear",0.9039215295,NA,NA,NA,NA
"569","Colibri thalassinus","Colibri cyanotus","Colibri thalassinus","Trochilidae (Hummingbirds)","Lesser Violetear",0.789898012,NA,NA,NA,NA
"570","Heliothryx barroti","Heliothryx barroti","Heliothryx barroti","Trochilidae (Hummingbirds)","Purple-crowned Fairy",0.363881667,NA,NA,NA,NA
"571","Heliothryx auritus","Heliothryx auritus","Heliothryx auritus","Trochilidae (Hummingbirds)","Black-eared Fairy",1.667998154,NA,NA,NA,NA
"572","Chrysolampis mosquitus","Chrysolampis mosquitus","Chrysolampis mosquitus","Trochilidae (Hummingbirds)","Ruby-topaz Hummingbird",1.238272901,NA,NA,NA,NA
"573","Anthracothorax mango","Anthracothorax mango","Anthracothorax mango","Trochilidae (Hummingbirds)","Jamaican Mango",0.599807863,NA,NA,NA,NA
"574","Anthracothorax nigricollis","Anthracothorax nigricollis","Anthracothorax nigricollis","Trochilidae (Hummingbirds)","Black-throated Mango",1.6810112552,NA,NA,NA,NA
"575","Anthracothorax prevostii","Anthracothorax prevostii","Anthracothorax prevostii","Trochilidae (Hummingbirds)","Green-breasted Mango",0.822953012666667,NA,NA,NA,NA
"576","Anthracothorax dominicus","Anthracothorax dominicus","Anthracothorax dominicus","Trochilidae (Hummingbirds)","Hispaniolan Mango",2.458430683,NA,NA,NA,NA
"577","Heliangelus amethysticollis","Heliangelus amethysticollis","Heliangelus amethysticollis","Trochilidae (Hummingbirds)","Amethyst-throated Sunangel",0.2216264455,NA,NA,NA,NA
"578","Heliangelus exortis","Heliangelus exortis","Heliangelus exortis","Trochilidae (Hummingbirds)","Tourmaline Sunangel",0.083300803,NA,NA,NA,NA
"579","Sephanoides sephaniodes","Sephanoides sephaniodes","Sephanoides sephaniodes","Trochilidae (Hummingbirds)","Green-backed Firecrown",2.2666618525,NA,NA,NA,NA
"580","Discosura popelairii","Discosura popelairii","Discosura popelairii","Trochilidae (Hummingbirds)","Wire-crested Thorntail",0.003819085,NA,NA,NA,NA
"581","Discosura conversii","Discosura conversii","Discosura conversii","Trochilidae (Hummingbirds)","Green Thorntail",0.288795282,NA,NA,NA,NA
"582","Lophornis delattrei","Lophornis delattrei","Lophornis delattrei","Trochilidae (Hummingbirds)","Rufous-crested Coquette",0.2482956335,NA,NA,NA,NA
"583","Lophornis chalybeus","Lophornis chalybeus","Lophornis chalybeus","Trochilidae (Hummingbirds)","Festive Coquette",0.958177429,NA,NA,NA,NA
"584","Phlogophilus harterti","Phlogophilus harterti","Phlogophilus harterti","Trochilidae (Hummingbirds)","Peruvian Piedtail",0,NA,NA,NA,NA
"585","Adelomyia melanogenys","Adelomyia melanogenys","Adelomyia melanogenys","Trochilidae (Hummingbirds)","Speckled Hummingbird",0.607128075333333,NA,NA,NA,NA
"586","Aglaiocercus kingi","Aglaiocercus kingii","Aglaiocercus kingii","Trochilidae (Hummingbirds)","Long-tailed Sylph",0.324166795333333,NA,NA,NA,NA
"587","Sappho sparganura","Sappho sparganurus","Sappho sparganurus","Trochilidae (Hummingbirds)","Red-tailed Comet",1.5095653545,NA,NA,NA,NA
"588","Polyonymus caroli","Polyonymus caroli","Polyonymus caroli","Trochilidae (Hummingbirds)","Bronze-tailed Comet",0.285935096,NA,NA,NA,NA
"589","Oreotrochilus chimborazo","Oreotrochilus chimborazo","Oreotrochilus chimborazo","Trochilidae (Hummingbirds)","Ecuadorian Hillstar",0.073036898,NA,NA,NA,NA
"590","Oreotrochilus estella","Oreotrochilus estella","Oreotrochilus estella","Trochilidae (Hummingbirds)","Andean Hillstar",0.254296951,NA,NA,NA,NA
"591","Oreotrochilus leucopleurus","Oreotrochilus leucopleurus","Oreotrochilus leucopleurus","Trochilidae (Hummingbirds)","White-sided Hillstar",0.320762755,NA,NA,NA,NA
"592","Lesbia victoriae","Lesbia victoriae","Lesbia victoriae","Trochilidae (Hummingbirds)","Black-tailed Trainbearer",1.029668702,NA,NA,NA,NA
"593","Lesbia nuna","Lesbia nuna","Lesbia nuna","Trochilidae (Hummingbirds)","Green-tailed Trainbearer",1.1129424865,NA,NA,NA,NA
"594","Ramphomicron microrhynchum","Ramphomicron microrhynchum","Ramphomicron microrhynchum","Trochilidae (Hummingbirds)","Purple-backed Thornbill",0.679099743,NA,NA,NA,NA
"595","Chalcostigma ruficeps","Chalcostigma ruficeps","Chalcostigma ruficeps","Trochilidae (Hummingbirds)","Rufous-capped Thornbill",0.00342815,NA,NA,NA,NA
"596","Chalcostigma stanleyi","Chalcostigma stanleyi","Chalcostigma stanleyi","Trochilidae (Hummingbirds)","Blue-mantled Thornbill",0.0539468475,NA,NA,NA,NA
"597","Chalcostigma heteropogon","Chalcostigma heteropogon","Chalcostigma heteropogon","Trochilidae (Hummingbirds)","Bronze-tailed Thornbill",0.083670296,NA,NA,NA,NA
"598","Oxypogon guerinii","Oxypogon guerinii","Oxypogon guerinii","Trochilidae (Hummingbirds)","Green-bearded Helmetcrest",0.011755385,NA,NA,NA,NA
"599","Oreonympha nobilis","Oreonympha nobilis","Oreonympha nobilis","Trochilidae (Hummingbirds)","Bearded Mountaineer",0.74435307,NA,NA,NA,NA
"600","Metallura tyrianthina","Metallura tyrianthina","Metallura tyrianthina","Trochilidae (Hummingbirds)","Tyrian Metaltail",0.619086168333333,NA,NA,NA,NA
"601","Metallura baroni","Metallura baroni","Metallura baroni","Trochilidae (Hummingbirds)","Violet-throated Metaltail",0.065207784,NA,NA,NA,NA
"602","Metallura aeneocauda","Metallura aeneocauda","Metallura aeneocauda","Trochilidae (Hummingbirds)","Scaled Metaltail",0.054168359,NA,NA,NA,NA
"603","Metallura phoebe","Metallura phoebe","Metallura phoebe","Trochilidae (Hummingbirds)","Black Metaltail",0.365066543,NA,NA,NA,NA
"604","Eriocnemis vestita","Eriocnemis vestita","Eriocnemis vestita","Trochilidae (Hummingbirds)","Glowing Puffleg",0.881870433,NA,NA,NA,NA
"605","Eriocnemis cupreoventris","Eriocnemis cupreoventris","Eriocnemis cupreoventris","Trochilidae (Hummingbirds)","Coppery-bellied Puffleg",0.789691526,NA,NA,NA,NA
"606","Eriocnemis luciani","Eriocnemis luciani","Eriocnemis luciani","Trochilidae (Hummingbirds)","Sapphire-vented Puffleg",0.036262061,NA,NA,NA,NA
"607","Aglaeactis cupripennis","Aglaeactis cupripennis","Aglaeactis cupripennis","Trochilidae (Hummingbirds)","Shining Sunbeam",0.9260451625,NA,NA,NA,NA
"608","Aglaeactis castelnaudii","Aglaeactis castelnaudii","Aglaeactis castelnaudii","Trochilidae (Hummingbirds)","White-tufted Sunbeam",0.046823543,NA,NA,NA,NA
"609","Coeligena coeligena","Coeligena coeligena","Coeligena coeligena","Trochilidae (Hummingbirds)","Bronzy Inca",0.086431823,NA,NA,NA,NA
"610","Coeligena prunellei","Coeligena prunellei","Coeligena prunellei","Trochilidae (Hummingbirds)","Black Inca",0.1151855,NA,NA,NA,NA
"611","Coeligena torquata","Coeligena torquata","Coeligena torquata","Trochilidae (Hummingbirds)","Collared Inca",0.1586802655,NA,NA,NA,NA
"612","Coeligena violifer","Coeligena violifer","Coeligena violifer","Trochilidae (Hummingbirds)","Violet-throated Starfrontlet",0.030282098,NA,NA,NA,NA
"613","Coeligena bonapartei","Coeligena bonapartei","Coeligena bonapartei","Trochilidae (Hummingbirds)","Golden-bellied Starfrontlet",0.585085619,NA,NA,NA,NA
"614","Coeligena helianthea","Coeligena helianthea","Coeligena helianthea","Trochilidae (Hummingbirds)","Blue-throated Starfrontlet",1.134692998,NA,NA,NA,NA
"615","Lafresnaya lafresnayi","Lafresnaya lafresnayi","Lafresnaya lafresnayi","Trochilidae (Hummingbirds)","Mountain Velvetbreast",0.552390792,NA,NA,NA,NA
"616","Ensifera ensifera","Ensifera ensifera","Ensifera ensifera","Trochilidae (Hummingbirds)","Sword-billed Hummingbird",0.6484424145,NA,NA,NA,NA
"617","Pterophanes cyanopterus","Pterophanes cyanopterus","Pterophanes cyanopterus","Trochilidae (Hummingbirds)","Great Sapphirewing",0.4361048415,NA,NA,NA,NA
"618","Boissonneaua flavescens","Boissonneaua flavescens","Boissonneaua flavescens","Trochilidae (Hummingbirds)","Buff-tailed Coronet",0.130993867,NA,NA,NA,NA
"619","Boissonneaua matthewsii","Boissonneaua matthewsii","Boissonneaua matthewsii","Trochilidae (Hummingbirds)","Chestnut-breasted Coronet",0.112456755,NA,NA,NA,NA
"620","Heliodoxa aurescens","Heliodoxa aurescens","Heliodoxa aurescens","Trochilidae (Hummingbirds)","Gould's Jewelfront",0.005133767,NA,NA,NA,NA
"621","Heliodoxa jacula","Heliodoxa jacula","Heliodoxa jacula","Trochilidae (Hummingbirds)","Green-crowned Brilliant",0.109143407,NA,NA,NA,NA
"622","Heliodoxa leadbeateri","Heliodoxa leadbeateri","Heliodoxa leadbeateri","Trochilidae (Hummingbirds)","Violet-fronted Brilliant",0.7507931415,NA,NA,NA,NA
"623","Patagona gigas","Patagona gigas","Patagona gigas","Trochilidae (Hummingbirds)","Giant Hummingbird",0.971032741666667,NA,NA,NA,NA
"624","Eugenes fulgens","Eugenes fulgens","Eugenes fulgens","Trochilidae (Hummingbirds)","Rivoli's Hummingbird",1.969428277,NA,NA,NA,NA
"625","Heliomaster longirostris","Heliomaster longirostris","Heliomaster longirostris","Trochilidae (Hummingbirds)","Long-billed Starthroat",0.597286144,NA,NA,NA,NA
"626","Heliomaster constantii","Heliomaster constantii","Heliomaster constantii","Trochilidae (Hummingbirds)","Plain-capped Starthroat",0.9992406475,NA,NA,NA,NA
"627","Heliomaster squamosus","Heliomaster squamosus","Heliomaster squamosus","Trochilidae (Hummingbirds)","Stripe-breasted Starthroat",1.05015847,NA,NA,NA,NA
"628","Heliomaster furcifer","Heliomaster furcifer","Heliomaster furcifer","Trochilidae (Hummingbirds)","Blue-tufted Starthroat",2.7219826205,NA,NA,NA,NA
"629","Lampornis viridipallens","Lampornis viridipallens","Lampornis viridipallens","Trochilidae (Hummingbirds)","Green-throated Mountain-gem",0.525478307,NA,NA,NA,NA
"630","Lampornis amethystinus","Lampornis amethystinus","Lampornis amethystinus","Trochilidae (Hummingbirds)","Amethyst-throated Mountain-gem",0.260478013,NA,NA,NA,NA
"631","Lampornis clemenciae","Lampornis clemenciae","Lampornis clemenciae","Trochilidae (Hummingbirds)","Blue-throated Mountain-gem",1.550147509,NA,NA,NA,NA
"632","Lamprolaima rhami","Lamprolaima rhami","Lamprolaima rhami","Trochilidae (Hummingbirds)","Garnet-throated Hummingbird",0.128702523,NA,NA,NA,NA
"633","Tilmatura dupontii","Tilmatura dupontii","Tilmatura dupontii","Trochilidae (Hummingbirds)","Sparkling-tailed Hummingbird",0.942764998,NA,NA,NA,NA
"634","Calliphlox amethystina","Calliphlox amethystina","Calliphlox amethystina","Trochilidae (Hummingbirds)","Amethyst Woodstar",1.032364216,NA,NA,NA,NA
"635","Thaumastura cora","Thaumastura cora","Thaumastura cora","Trochilidae (Hummingbirds)","Peruvian Sheartail",1.926457878,NA,NA,NA,NA
"636","Myrmia micrura","Myrmia micrura","Myrmia micrura","Trochilidae (Hummingbirds)","Short-tailed Woodstar",1.2014523605,NA,NA,NA,NA
"637","Myrtis fanny","Myrtis fanny","Myrtis fanny","Trochilidae (Hummingbirds)","Purple-collared Woodstar",0.618826186,NA,NA,NA,NA
"638","Rhodopis vesper","Rhodopis vesper","Rhodopis vesper","Trochilidae (Hummingbirds)","Oasis Hummingbird",0.885442531,NA,NA,NA,NA
"639","Chaetocercus mulsant","Chaetocercus mulsant","Chaetocercus mulsant","Trochilidae (Hummingbirds)","White-bellied Woodstar",0.838673766,NA,NA,NA,NA
"640","Chaetocercus heliodor","Chaetocercus heliodor","Chaetocercus heliodor","Trochilidae (Hummingbirds)","Gorgeted Woodstar",1.148672176,NA,NA,NA,NA
"641","Chaetocercus jourdanii","Chaetocercus jourdanii","Chaetocercus jourdanii","Trochilidae (Hummingbirds)","Rufous-shafted Woodstar",1.33094904,NA,NA,NA,NA
"642","Doricha enicura","Doricha enicura","Doricha enicura","Trochilidae (Hummingbirds)","Slender Sheartail",0.406018561,NA,NA,NA,NA
"643","Doricha eliza","Doricha eliza","Doricha eliza","Trochilidae (Hummingbirds)","Mexican Sheartail",0.697996434,NA,NA,NA,NA
"644","Calothorax lucifer","Calothorax lucifer","Calothorax lucifer","Trochilidae (Hummingbirds)","Lucifer Hummingbird",2.079800638,NA,NA,NA,NA
"645","Archilochus colubris","Archilochus colubris","Archilochus colubris","Trochilidae (Hummingbirds)","Ruby-throated Hummingbird",1.74180044508696,"Archilochus colubris",1.137570886,NA,NA
"646","Archilochus alexandri","Archilochus alexandri","Archilochus alexandri","Trochilidae (Hummingbirds)","Black-chinned Hummingbird",2.12382559683333,"Archilochus alexandri",2.142706705,NA,NA
"647","Calliphlox evelynae","Nesophlox evelynae","Nesophlox evelynae","Trochilidae (Hummingbirds)","Bahama Woodstar",2.790714663,NA,NA,NA,NA
"648","Mellisuga minima","Mellisuga minima","Mellisuga minima","Trochilidae (Hummingbirds)","Vervain Hummingbird",2.052847169,NA,NA,NA,NA
"649","Calypte anna","Calypte anna","Calypte anna","Trochilidae (Hummingbirds)","Anna's Hummingbird",2.3629133,"Calypte anna",3.946281238,NA,NA
"650","Calypte costae","Calypte costae","Calypte costae","Trochilidae (Hummingbirds)","Costa's Hummingbird",2.222610672,"Calypte costae",0.686674925,NA,NA
"651","Stellula calliope","Selasphorus calliope","Selasphorus calliope","Trochilidae (Hummingbirds)","Calliope Hummingbird",1.76886944316667,"Selasphorus calliope",-0.033043077,NA,NA
"652","Selasphorus rufus","Selasphorus rufus","Selasphorus rufus","Trochilidae (Hummingbirds)","Rufous Hummingbird",1.69059160892308,"Selasphorus rufus",0.162199386,"Selasphorus rufus","U"
"653","Selasphorus sasin","Selasphorus sasin","Selasphorus sasin","Trochilidae (Hummingbirds)","Allen's Hummingbird",2.2791215915,"Selasphorus sasin",3.533112556,"Selasphorus sasin","N"
"654","Selasphorus platycercus","Selasphorus platycercus","Selasphorus platycercus","Trochilidae (Hummingbirds)","Broad-tailed Hummingbird",1.21650533716667,"Selasphorus platycercus",0.472061602,"Selasphorus platycercus","N"
"655","Atthis heloisa","Selasphorus heloisa","Atthis heloisa","Trochilidae (Hummingbirds)","Bumblebee Hummingbird",0.763722131,NA,NA,NA,NA
"656","Atthis ellioti","Selasphorus ellioti","Atthis ellioti","Trochilidae (Hummingbirds)","Wine-throated Hummingbird",0.118641108,NA,NA,NA,NA
"657","Cynanthus sordidus","Phaeoptila sordida","Cynanthus sordidus","Trochilidae (Hummingbirds)","Dusky Hummingbird",1.798579653,NA,NA,NA,NA
"658","Chlorostilbon ricordii","Riccordia ricordii","Chlorostilbon ricordii","Trochilidae (Hummingbirds)","Cuban Emerald",1.4909997845,NA,NA,NA,NA
"659","Chlorostilbon swainsonii","Riccordia swainsonii","Chlorostilbon swainsonii","Trochilidae (Hummingbirds)","Hispaniolan Emerald",0.598092977,NA,NA,NA,NA
"660","Cynanthus latirostris","Cynanthus latirostris","Cynanthus latirostris","Trochilidae (Hummingbirds)","Broad-billed Hummingbird",1.93696903975,NA,NA,NA,NA
"661","Chlorostilbon auriceps","Cynanthus auriceps","Chlorostilbon auriceps","Trochilidae (Hummingbirds)","Golden-crowned Emerald",1.156333155,NA,NA,NA,NA
"662","Chlorostilbon canivetii","Cynanthus canivetii","Chlorostilbon canivetii","Trochilidae (Hummingbirds)","Canivet's Emerald",0.763393166333333,NA,NA,NA,NA
"663","Chlorostilbon mellisugus","Chlorostilbon mellisugus","Chlorostilbon mellisugus","Trochilidae (Hummingbirds)","Blue-tailed Emerald",1.19224337066667,NA,NA,NA,NA
"664","Chlorostilbon gibsoni","Chlorostilbon gibsoni","Chlorostilbon gibsoni","Trochilidae (Hummingbirds)","Red-billed Emerald",1.013460311,NA,NA,NA,NA
"665","Chlorostilbon lucidus","Chlorostilbon lucidus","Chlorostilbon lucidus","Trochilidae (Hummingbirds)","Glittering-bellied Emerald",2.296445469,NA,NA,NA,NA
"666","Chlorostilbon poortmani","Chlorostilbon poortmani","Chlorostilbon poortmani","Trochilidae (Hummingbirds)","Short-tailed Emerald",0.984486967,NA,NA,NA,NA
"667","Chlorostilbon alice","Chlorostilbon alice","Chlorostilbon poortmani","Trochilidae (Hummingbirds)","Green-tailed Emerald",1.948337504,NA,NA,NA,NA
"668","Chlorostilbon assimilis","Chlorostilbon assimilis","Chlorostilbon assimilis","Trochilidae (Hummingbirds)","Garden Emerald",1.940432818,NA,NA,NA,NA
"669","Hylocharis leucotis","Basilinna leucotis","Basilinna leucotis","Trochilidae (Hummingbirds)","White-eared Hummingbird",1.15960154266667,NA,NA,NA,NA
"670","Campylopterus curvipennis","Pampa curvipennis","Campylopterus curvipennis","Trochilidae (Hummingbirds)","Wedge-tailed Sabrewing",0.023531607,NA,NA,NA,NA
"671","Campylopterus rufus","Pampa rufa","Campylopterus rufus","Trochilidae (Hummingbirds)","Rufous Sabrewing",0.759601213,NA,NA,NA,NA
"672","Klais guimeti","Klais guimeti","Klais guimeti","Trochilidae (Hummingbirds)","Violet-headed Hummingbird",0.2741275975,NA,NA,NA,NA
"673","Abeillia abeillei","Abeillia abeillei","Abeillia abeillei","Trochilidae (Hummingbirds)","Emerald-chinned Hummingbird",0.093480668,NA,NA,NA,NA
"674","Campylopterus largipennis","Campylopterus largipennis","Campylopterus largipennis","Trochilidae (Hummingbirds)","Gray-breasted Sabrewing",0.014448532,NA,NA,NA,NA
"675","Campylopterus hemileucurus","Campylopterus hemileucurus","Campylopterus hemileucurus","Trochilidae (Hummingbirds)","Violet Sabrewing",0.204829624,NA,NA,NA,NA
"676","Chalybura urochrysia","Chalybura urochrysia","Chalybura urochrysia","Trochilidae (Hummingbirds)","Bronze-tailed Plumeleteer",0.486317097,NA,NA,NA,NA
"677","Chalybura buffonii","Chalybura buffonii","Chalybura buffonii","Trochilidae (Hummingbirds)","White-vented Plumeleteer",1.23819442733333,NA,NA,NA,NA
"678","Thalurania glaucopis","Thalurania glaucopis","Thalurania glaucopis","Trochilidae (Hummingbirds)","Violet-capped Woodnymph",1.380719603,NA,NA,NA,NA
"679","Thalurania colombica","Thalurania colombica","Thalurania colombica","Trochilidae (Hummingbirds)","Crowned Woodnymph",0.188742828333333,NA,NA,NA,NA
"680","Thalurania furcata","Thalurania furcata","Thalurania furcata","Trochilidae (Hummingbirds)","Fork-tailed Woodnymph",0.554154287428571,NA,NA,NA,NA
"681","Microchera albocoronata","Microchera albocoronata","Microchera albocoronata","Trochilidae (Hummingbirds)","Snowcap",0.112680581,NA,NA,NA,NA
"682","Goldmania violiceps","Goldmania violiceps","Goldmania violiceps","Trochilidae (Hummingbirds)","Violet-capped Hummingbird",0.504158279,NA,NA,NA,NA
"683","Thalurania ridgwayi","Eupherusa ridgwayi","Thalurania ridgwayi","Trochilidae (Hummingbirds)","Mexican Woodnymph",0.065657158,NA,NA,NA,NA
"684","Phaeochroa cuvierii","Phaeochroa cuvierii","Campylopterus cuvierii","Trochilidae (Hummingbirds)","Scaly-breasted Hummingbird",1.61975566,NA,NA,NA,NA
"685","Leucippus fallax","Leucippus fallax","Leucippus fallax","Trochilidae (Hummingbirds)","Buffy Hummingbird",2.814509985,NA,NA,NA,NA
"686","Taphrospilus hypostictus","Taphrospilus hypostictus","Taphrospilus hypostictus","Trochilidae (Hummingbirds)","Many-spotted Hummingbird",0.001380812,NA,NA,NA,NA
"687","Eupetomena macroura","Eupetomena macroura","Eupetomena macroura","Trochilidae (Hummingbirds)","Swallow-tailed Hummingbird",2.06074776675,NA,NA,NA,NA
"688","Aphantochroa cirrochloris","Eupetomena cirrochloris","Aphantochroa cirrochloris","Trochilidae (Hummingbirds)","Sombre Hummingbird",1.779562305,NA,NA,NA,NA
"689","Leucippus chlorocercus","Talaphorus chlorocercus","Leucippus chlorocercus","Trochilidae (Hummingbirds)","Olive-spotted Hummingbird",2.201290311,NA,NA,NA,NA
"690","Amazilia violiceps","Leucolia violiceps","Amazilia violiceps","Trochilidae (Hummingbirds)","Violet-crowned Hummingbird",1.449527752,NA,NA,NA,NA
"691","Amazilia cyanocephala","Saucerottia cyanocephala","Amazilia cyanocephala","Trochilidae (Hummingbirds)","Azure-crowned Hummingbird",1.324505069,NA,NA,NA,NA
"692","Amazilia saucerrottei","Saucerottia hoffmanni","Amazilia saucerottei","Trochilidae (Hummingbirds)","Blue-vented Hummingbird",0.482121563,NA,NA,NA,NA
"693","Amazilia beryllina","Saucerottia beryllina","Amazilia beryllina","Trochilidae (Hummingbirds)","Berylline Hummingbird",1.45837833066667,NA,NA,NA,NA
"694","Amazilia cyanura","Saucerottia cyanura","Amazilia cyanura","Trochilidae (Hummingbirds)","Blue-tailed Hummingbird",0.233546049,NA,NA,NA,NA
"695","Amazilia edward","Saucerottia edward","Amazilia edward","Trochilidae (Hummingbirds)","Snowy-bellied Hummingbird",0.87510473,NA,NA,NA,NA
