"","Species_Jetz","Family_Jetz","Order_Jetz","CommonName","aveUAI","Species_eBird","Order_eBird","Species_BirdLife"
"698","Sterna nereis","Laridae","Charadriiformes","Australian Fairy Tern",0.5298945895,"Sternula nereis","Charadriiformes","Sternula nereis"
"699","Sterna nilotica","Laridae","Charadriiformes","Gull-billed Tern",1.35700944965,"Gelochelidon nilotica","Charadriiformes","Gelochelidon nilotica"
"700","Sterna paradisaea","Laridae","Charadriiformes","Arctic Tern",1.67008905166667,"Sterna paradisaea","Charadriiformes","Sterna paradisaea"
"701","Sterna sandvicensis","Laridae","Charadriiformes","Sandwich Tern",1.88015339065,"Thalasseus sandvicensis","Charadriiformes","Thalasseus sandvicensis"
"702","Sterna striata","Laridae","Charadriiformes","White-fronted Tern",0.719481119333333,"Sterna striata","Charadriiformes","Sterna striata"
"703","Sterna sumatrana","Laridae","Charadriiformes","Black-naped Tern",1.3472616875,"Sterna sumatrana","Charadriiformes","Sterna sumatrana"
"704","Sterna superciliaris","Laridae","Charadriiformes","Yellow-billed Tern",2.3619030425,"Sternula superciliaris","Charadriiformes","Sternula superciliaris"
"705","Sterna trudeaui","Laridae","Charadriiformes","Snowy-crowned Tern",2.1733255475,"Sterna trudeaui","Charadriiformes","Sterna trudeaui"
"706","Xema sabini","Laridae","Charadriiformes","Sabine's Gull",1.005408199,"Xema sabini","Charadriiformes","Xema sabini"
"707","Cladorhynchus leucocephalus","Recurvirostridae","Charadriiformes","Banded Stilt",0.832276966,"Cladorhynchus leucocephalus","Charadriiformes","Cladorhynchus leucocephalus"
"708","Himantopus himantopus","Recurvirostridae","Charadriiformes","Black-winged Stilt",1.50524461185714,"Himantopus himantopus","Charadriiformes","Himantopus himantopus"
"709","Himantopus leucocephalus","Recurvirostridae","Charadriiformes","Pied Stilt",1.15741472466667,"Himantopus leucocephalus","Charadriiformes","Himantopus himantopus"
"710","Himantopus mexicanus","Recurvirostridae","Charadriiformes","Black-necked Stilt",1.45677923434884,"Himantopus mexicanus","Charadriiformes","Himantopus himantopus"
"711","Himantopus novaezelandiae","Recurvirostridae","Charadriiformes","Black Stilt",0.209469405,"Himantopus novaezelandiae","Charadriiformes","Himantopus novaezelandiae"
"712","Recurvirostra americana","Recurvirostridae","Charadriiformes","American Avocet",1.46115108665,"Recurvirostra americana","Charadriiformes","Recurvirostra americana"
"713","Recurvirostra avosetta","Recurvirostridae","Charadriiformes","Pied Avocet",1.52507680607143,"Recurvirostra avosetta","Charadriiformes","Recurvirostra avosetta"
"714","Recurvirostra novaehollandiae","Recurvirostridae","Charadriiformes","Red-necked Avocet",1.3073884364,"Recurvirostra novaehollandiae","Charadriiformes","Recurvirostra novaehollandiae"
"715","Rostratula benghalensis","Rostratulidae","Charadriiformes","Greater Painted-Snipe",2.08017875,"Rostratula benghalensis","Charadriiformes","Rostratula benghalensis"
"716","Actitis hypoleucos","Scolopacidae","Charadriiformes","Common Sandpiper",1.58494312712727,"Actitis hypoleucos","Charadriiformes","Actitis hypoleucos"
"717","Actitis macularius","Scolopacidae","Charadriiformes","Spotted Sandpiper",1.8055497852766,"Actitis macularius","Charadriiformes","Actitis macularius"
"718","Aphriza virgata","Scolopacidae","Charadriiformes","Surfbird",2.15000970733333,"Calidris virgata","Charadriiformes","Calidris virgata"
"719","Arenaria interpres","Scolopacidae","Charadriiformes","Ruddy Turnstone",1.53839524577273,"Arenaria interpres","Charadriiformes","Arenaria interpres"
"720","Arenaria melanocephala","Scolopacidae","Charadriiformes","Black Turnstone",2.15687833475,"Arenaria melanocephala","Charadriiformes","Arenaria melanocephala"
"721","Bartramia longicauda","Scolopacidae","Charadriiformes","Upland Sandpiper",0.702176877833333,"Bartramia longicauda","Charadriiformes","Bartramia longicauda"
"722","Calidris acuminata","Scolopacidae","Charadriiformes","Sharp-tailed Sandpiper",1.12631312558333,"Calidris acuminata","Charadriiformes","Calidris acuminata"
"723","Calidris alba","Scolopacidae","Charadriiformes","Sanderling",1.31789934131707,"Calidris alba","Charadriiformes","Calidris alba"
"724","Calidris alpina","Scolopacidae","Charadriiformes","Dunlin",1.4792410466,"Calidris alpina","Charadriiformes","Calidris alpina"
"725","Calidris bairdii","Scolopacidae","Charadriiformes","Baird's Sandpiper",1.02290867833333,"Calidris bairdii","Charadriiformes","Calidris bairdii"
"726","Calidris canutus","Scolopacidae","Charadriiformes","Red Knot",1.04300639921739,"Calidris canutus","Charadriiformes","Calidris canutus"
"727","Calidris ferruginea","Scolopacidae","Charadriiformes","Curlew Sandpiper",1.21573489022222,"Calidris ferruginea","Charadriiformes","Calidris ferruginea"
"728","Calidris fuscicollis","Scolopacidae","Charadriiformes","White-rumped Sandpiper",1.23651897833333,"Calidris fuscicollis","Charadriiformes","Calidris fuscicollis"
"729","Calidris himantopus","Scolopacidae","Charadriiformes","Stilt Sandpiper",1.34470072745,"Calidris himantopus","Charadriiformes","Calidris himantopus"
"730","Calidris maritima","Scolopacidae","Charadriiformes","Purple Sandpiper",2.047983058,"Calidris maritima","Charadriiformes","Calidris maritima"
"731","Calidris mauri","Scolopacidae","Charadriiformes","Western Sandpiper",1.4507561435625,"Calidris mauri","Charadriiformes","Calidris mauri"
"732","Calidris melanotos","Scolopacidae","Charadriiformes","Pectoral Sandpiper",1.35047674025806,"Calidris melanotos","Charadriiformes","Calidris melanotos"
"733","Calidris minuta","Scolopacidae","Charadriiformes","Little Stint",1.4672693348125,"Calidris minuta","Charadriiformes","Calidris minuta"
"734","Calidris minutilla","Scolopacidae","Charadriiformes","Least Sandpiper",1.426019691,"Calidris minutilla","Charadriiformes","Calidris minutilla"
"735","Calidris pusilla","Scolopacidae","Charadriiformes","Semipalmated Sandpiper",1.30714870882609,"Calidris pusilla","Charadriiformes","Calidris pusilla"
"736","Calidris ruficollis","Scolopacidae","Charadriiformes","Red-necked Stint",0.949640315066667,"Calidris ruficollis","Charadriiformes","Calidris ruficollis"
"737","Calidris subminuta","Scolopacidae","Charadriiformes","Long-toed Stint",1.44409764542857,"Calidris subminuta","Charadriiformes","Calidris subminuta"
"738","Calidris temminckii","Scolopacidae","Charadriiformes","Temminck's Stint",1.7944709089,"Calidris temminckii","Charadriiformes","Calidris temminckii"
"739","Calidris tenuirostris","Scolopacidae","Charadriiformes","Great Knot",1.41499544055556,"Calidris tenuirostris","Charadriiformes","Calidris tenuirostris"
"740","Catoptrophorus semipalmatus","Scolopacidae","Charadriiformes","Willet",1.3476357604,"Tringa semipalmata","Charadriiformes","Tringa semipalmata"
"741","Eurynorhynchus pygmeus","Scolopacidae","Charadriiformes","Spoon-billed Sandpiper",1.351042429,"Calidris pygmaea","Charadriiformes","Calidris pygmaea"
"742","Gallinago gallinago","Scolopacidae","Charadriiformes","Common Snipe",1.49117456212121,"Gallinago gallinago","Charadriiformes","Gallinago gallinago"
"743","Gallinago gallinago","Scolopacidae","Charadriiformes","Wilson's Snipe",1.37869853657143,"Gallinago delicata","Charadriiformes","Gallinago delicata"
"744","Gallinago hardwickii","Scolopacidae","Charadriiformes","Latham's Snipe",1.640906998,"Gallinago hardwickii","Charadriiformes","Gallinago hardwickii"
"745","Gallinago nigripennis","Scolopacidae","Charadriiformes","African Snipe",0.97917053,"Gallinago nigripennis","Charadriiformes","Gallinago nigripennis"
"746","Gallinago nobilis","Scolopacidae","Charadriiformes","Noble Snipe",1.185565089,"Gallinago nobilis","Charadriiformes","Gallinago nobilis"
"747","Gallinago paraguaiae","Scolopacidae","Charadriiformes","Pantanal Snipe",2.137126442,"Gallinago paraguaiae","Charadriiformes","Gallinago paraguaiae"
"748","Gallinago stenura","Scolopacidae","Charadriiformes","Pin-tailed Snipe",1.22084652133333,"Gallinago stenura","Charadriiformes","Gallinago stenura"
"749","Heteroscelus brevipes","Scolopacidae","Charadriiformes","Gray-tailed Tattler",1.6123035185,"Tringa brevipes","Charadriiformes","Tringa brevipes"
"750","Heteroscelus incanus","Scolopacidae","Charadriiformes","Wandering Tattler",1.69108523625,"Tringa incana","Charadriiformes","Tringa incana"
"751","Limicola falcinellus","Scolopacidae","Charadriiformes","Broad-billed Sandpiper",1.48889956175,"Calidris falcinellus","Charadriiformes","Calidris falcinellus"
"752","Limnodromus griseus","Scolopacidae","Charadriiformes","Short-billed Dowitcher",1.50162767776471,"Limnodromus griseus","Charadriiformes","Limnodromus griseus"
"753","Limnodromus scolopaceus","Scolopacidae","Charadriiformes","Long-billed Dowitcher",1.30747705359091,"Limnodromus scolopaceus","Charadriiformes","Limnodromus scolopaceus"
"754","Limnodromus semipalmatus","Scolopacidae","Charadriiformes","Asian Dowitcher",1.060992938,"Limnodromus semipalmatus","Charadriiformes","Limnodromus semipalmatus"
"755","Limosa fedoa","Scolopacidae","Charadriiformes","Marbled Godwit",1.14748959311765,"Limosa fedoa","Charadriiformes","Limosa fedoa"
"756","Limosa haemastica","Scolopacidae","Charadriiformes","Hudsonian Godwit",1.06485817811111,"Limosa haemastica","Charadriiformes","Limosa haemastica"
"757","Limosa lapponica","Scolopacidae","Charadriiformes","Bar-tailed Godwit",1.25813847068182,"Limosa lapponica","Charadriiformes","Limosa lapponica"
"758","Limosa limosa","Scolopacidae","Charadriiformes","Black-tailed Godwit",1.43840465276,"Limosa limosa","Charadriiformes","Limosa limosa"
"759","Lymnocryptes minimus","Scolopacidae","Charadriiformes","Jack Snipe",2.7525418935,"Lymnocryptes minimus","Charadriiformes","Lymnocryptes minimus"
"760","Numenius americanus","Scolopacidae","Charadriiformes","Long-billed Curlew",0.82784284175,"Numenius americanus","Charadriiformes","Numenius americanus"
"761","Numenius arquata","Scolopacidae","Charadriiformes","Eurasian Curlew",1.38141624310526,"Numenius arquata","Charadriiformes","Numenius arquata"
"762","Numenius madagascariensis","Scolopacidae","Charadriiformes","Far Eastern Curlew",1.1756164395,"Numenius madagascariensis","Charadriiformes","Numenius madagascariensis"
"763","Numenius phaeopus","Scolopacidae","Charadriiformes","Whimbrel",1.45576107757143,"Numenius phaeopus","Charadriiformes","Numenius phaeopus"
"764","Numenius tahitiensis","Scolopacidae","Charadriiformes","Bristle-thighed Curlew",0.585576589,"Numenius tahitiensis","Charadriiformes","Numenius tahitiensis"
"765","Phalaropus lobatus","Scolopacidae","Charadriiformes","Red-necked Phalarope",1.18092301126667,"Phalaropus lobatus","Charadriiformes","Phalaropus lobatus"
"766","Philomachus pugnax","Scolopacidae","Charadriiformes","Ruff",1.28224658478261,"Calidris pugnax","Charadriiformes","Calidris pugnax"
"767","Scolopax minor","Scolopacidae","Charadriiformes","American Woodcock",1.3626664197,"Scolopax minor","Charadriiformes","Scolopax minor"
"768","Scolopax rusticola","Scolopacidae","Charadriiformes","Eurasian Woodcock",0.9317234375,"Scolopax rusticola","Charadriiformes","Scolopax rusticola"
"769","Steganopus tricolor","Scolopacidae","Charadriiformes","Wilson's Phalarope",1.22097010005,"Phalaropus tricolor","Charadriiformes","Steganopus tricolor"
"770","Tringa erythropus","Scolopacidae","Charadriiformes","Spotted Redshank",1.4847409295,"Tringa erythropus","Charadriiformes","Tringa erythropus"
"771","Tringa flavipes","Scolopacidae","Charadriiformes","Lesser Yellowlegs",1.47389001611364,"Tringa flavipes","Charadriiformes","Tringa flavipes"
"772","Tringa glareola","Scolopacidae","Charadriiformes","Wood Sandpiper",1.33463442421951,"Tringa glareola","Charadriiformes","Tringa glareola"
"773","Tringa guttifer","Scolopacidae","Charadriiformes","Nordmann's Greenshank",0.834757578,"Tringa guttifer","Charadriiformes","Tringa guttifer"
"774","Tringa melanoleuca","Scolopacidae","Charadriiformes","Greater Yellowlegs",1.37995729087805,"Tringa melanoleuca","Charadriiformes","Tringa melanoleuca"
"775","Tringa nebularia","Scolopacidae","Charadriiformes","Common Greenshank",1.43415155730952,"Tringa nebularia","Charadriiformes","Tringa nebularia"
"776","Tringa ochropus","Scolopacidae","Charadriiformes","Green Sandpiper",1.4694075828125,"Tringa ochropus","Charadriiformes","Tringa ochropus"
"777","Tringa solitaria","Scolopacidae","Charadriiformes","Solitary Sandpiper",1.92954615924242,"Tringa solitaria","Charadriiformes","Tringa solitaria"
"778","Tringa stagnatilis","Scolopacidae","Charadriiformes","Marsh Sandpiper",1.3199506329,"Tringa stagnatilis","Charadriiformes","Tringa stagnatilis"
"779","Tringa totanus","Scolopacidae","Charadriiformes","Common Redshank",1.6049886958,"Tringa totanus","Charadriiformes","Tringa totanus"
"780","Tryngites subruficollis","Scolopacidae","Charadriiformes","Buff-breasted Sandpiper",0.429552921,"Calidris subruficollis","Charadriiformes","Calidris subruficollis"
"781","Xenus cinereus","Scolopacidae","Charadriiformes","Terek Sandpiper",1.6875740963,"Xenus cinereus","Charadriiformes","Xenus cinereus"
"782","Catharacta chilensis","Stercorariidae","Charadriiformes","Chilean Skua",1.161302963,"Stercorarius chilensis","Charadriiformes","Catharacta chilensis"
"783","Catharacta skua","Stercorariidae","Charadriiformes","Great Skua",1.07709781566667,"Stercorarius skua","Charadriiformes","Catharacta skua"
"784","Stercorarius parasiticus","Stercorariidae","Charadriiformes","Parasitic Jaeger",1.09234262566667,"Stercorarius parasiticus","Charadriiformes","Stercorarius parasiticus"
"785","Stercorarius pomarinus","Stercorariidae","Charadriiformes","Pomarine Jaeger",1.35800164366667,"Stercorarius pomarinus","Charadriiformes","Stercorarius pomarinus"
"786","Thinocorus orbignyianus","Thinocoridae","Charadriiformes","Gray-breasted Seedsnipe",0.136672169,"Thinocorus orbignyianus","Charadriiformes","Thinocorus orbignyianus"
"787","Thinocorus rumicivorus","Thinocoridae","Charadriiformes","Least Seedsnipe",0.232732446,"Thinocorus rumicivorus","Charadriiformes","Thinocorus rumicivorus"
"788","Turnix suscitator","Turnicidae","Charadriiformes","Barred Buttonquail",1.37857694775,"Turnix suscitator","Charadriiformes","Turnix suscitator"
"789","Turnix varius","Turnicidae","Charadriiformes","Painted Buttonquail",0.548147272,"Turnix varius","Charadriiformes","Turnix varius"
"790","Anastomus lamelligerus","Ciconiidae","Ciconiiformes","African Openbill",0.871997699,"Anastomus lamelligerus","Ciconiiformes","Anastomus lamelligerus"
"791","Anastomus oscitans","Ciconiidae","Ciconiiformes","Asian Openbill",1.46138333190909,"Anastomus oscitans","Ciconiiformes","Anastomus oscitans"
"792","Ciconia boyciana","Ciconiidae","Ciconiiformes","Oriental Stork",2.26216042,"Ciconia boyciana","Ciconiiformes","Ciconia boyciana"
"793","Ciconia ciconia","Ciconiidae","Ciconiiformes","White Stork",1.24897552478571,"Ciconia ciconia","Ciconiiformes","Ciconia ciconia"
"794","Ciconia maguari","Ciconiidae","Ciconiiformes","Maguari Stork",1.44527146866667,"Ciconia maguari","Ciconiiformes","Ciconia maguari"
"795","Ciconia nigra","Ciconiidae","Ciconiiformes","Black Stork",0.970200357666667,"Ciconia nigra","Ciconiiformes","Ciconia nigra"
"796","Ephippiorhynchus asiaticus","Ciconiidae","Ciconiiformes","Black-necked Stork",1.06452541275,"Ephippiorhynchus asiaticus","Ciconiiformes","Ephippiorhynchus asiaticus"
"797","Leptoptilos crumeniferus","Ciconiidae","Ciconiiformes","Marabou Stork",1.51757982375,"Leptoptilos crumenifer","Ciconiiformes","Leptoptilos crumenifer"
"798","Leptoptilos javanicus","Ciconiidae","Ciconiiformes","Lesser Adjutant",1.0592587025,"Leptoptilos javanicus","Ciconiiformes","Leptoptilos javanicus"
"799","Mycteria americana","Ciconiidae","Ciconiiformes","Wood Stork",1.25303113190909,"Mycteria americana","Ciconiiformes","Mycteria americana"
"800","Mycteria cinerea","Ciconiidae","Ciconiiformes","Milky Stork",2.213089959,"Mycteria cinerea","Ciconiiformes","Mycteria cinerea"
"801","Mycteria ibis","Ciconiidae","Ciconiiformes","Yellow-billed Stork",0.7527500025,"Mycteria ibis","Ciconiiformes","Mycteria ibis"
"802","Mycteria leucocephala","Ciconiidae","Ciconiiformes","Painted Stork",1.580581704125,"Mycteria leucocephala","Ciconiiformes","Mycteria leucocephala"
"803","Colius colius","Coliidae","Coliiformes","White-backed Mousebird",1.820249849,"Colius colius","Coliiformes","Colius colius"
"804","Colius striatus","Coliidae","Coliiformes","Speckled Mousebird",1.88205853766667,"Colius striatus","Coliiformes","Colius striatus"
"805","Urocolius indicus","Coliidae","Coliiformes","Red-faced Mousebird",2.030434611,"Urocolius indicus","Coliiformes","Urocolius indicus"
"806","Urocolius macrourus","Coliidae","Coliiformes","Blue-naped Mousebird",1.0773564945,"Urocolius macrourus","Coliiformes","Urocolius macrourus"
"807","Alectroenas madagascariensis","Columbidae","Columbiformes","Madagascar Blue-Pigeon",0.112766317,"Alectroenas madagascariensis","Columbiformes","Alectroenas madagascariensis"
"808","Chalcophaps indica","Columbidae","Columbiformes","Asian Emerald Dove",1.18080651275,"Chalcophaps indica","Columbiformes","Chalcophaps indica"
"809","Chalcophaps indica","Columbidae","Columbiformes","Pacific Emerald Dove",0.426471064666667,"Chalcophaps longirostris","Columbiformes","Chalcophaps longirostris"
"810","Claravis pretiosa","Columbidae","Columbiformes","Blue Ground Dove",0.653922402,"Claravis pretiosa","Columbiformes","Claravis pretiosa"
"811","Columba albitorques","Columbidae","Columbiformes","White-collared Pigeon",1.753307041,"Columba albitorques","Columbiformes","Columba albitorques"
"812","Columba arquatrix","Columbidae","Columbiformes","Rameron Pigeon",1.98051592,"Columba arquatrix","Columbiformes","Columba arquatrix"
"813","Columba elphinstonii","Columbidae","Columbiformes","Nilgiri Wood-Pigeon",0.695356737,"Columba elphinstonii","Columbiformes","Columba elphinstonii"
"814","Columba guinea","Columbidae","Columbiformes","Speckled Pigeon",1.91336675971429,"Columba guinea","Columbiformes","Columba guinea"
"815","Columba leucomela","Columbidae","Columbiformes","White-headed Pigeon",0.922836978,"Columba leucomela","Columbiformes","Columba leucomela"
"816","Columba livia","Columbidae","Columbiformes","Rock Pigeon",2.86374259609774,"Columba livia","Columbiformes","Columba livia"
"817","Columba oenas","Columbidae","Columbiformes","Stock Dove",1.284581559625,"Columba oenas","Columbiformes","Columba oenas"
"818","Columba palumboides","Columbidae","Columbiformes","Andaman Wood-Pigeon",0.190293883,"Columba palumboides","Columbiformes","Columba palumboides"
"819","Columba palumbus","Columbidae","Columbiformes","Common Wood-Pigeon",1.82484518473913,"Columba palumbus","Columbiformes","Columba palumbus"
"820","Columba pulchricollis","Columbidae","Columbiformes","Ashy Wood-Pigeon",0.314961281,"Columba pulchricollis","Columbiformes","Columba pulchricollis"
"821","Columbina buckleyi","Columbidae","Columbiformes","Ecuadorian Ground Dove",2.520192083,"Columbina buckleyi","Columbiformes","Columbina buckleyi"
"822","Columbina cruziana","Columbidae","Columbiformes","Croaking Ground Dove",1.87033731933333,"Columbina cruziana","Columbiformes","Columbina cruziana"
"823","Columbina inca","Columbidae","Columbiformes","Inca Dove",1.93507056418182,"Columbina inca","Columbiformes","Columbina inca"
"824","Columbina minuta","Columbidae","Columbiformes","Plain-breasted Ground Dove",1.388096235,"Columbina minuta","Columbiformes","Columbina minuta"
"825","Columbina passerina","Columbidae","Columbiformes","Common Ground Dove",1.58607506395,"Columbina passerina","Columbiformes","Columbina passerina"
"826","Columbina picui","Columbidae","Columbiformes","Picui Ground Dove",2.13108278336364,"Columbina picui","Columbiformes","Columbina picui"
"827","Columbina squammata","Columbidae","Columbiformes","Scaled Dove",2.2239647683,"Columbina squammata","Columbiformes","Columbina squammata"
"828","Columbina talpacoti","Columbidae","Columbiformes","Ruddy Ground Dove",2.24054018829167,"Columbina talpacoti","Columbiformes","Columbina talpacoti"
"829","Ducula aenea","Columbidae","Columbiformes","Green Imperial-Pigeon",1.309132957,"Ducula aenea","Columbiformes","Ducula aenea"
"830","Ducula badia","Columbidae","Columbiformes","Mountain Imperial-Pigeon",0.1776828245,"Ducula badia","Columbiformes","Ducula badia"
"831","Ducula bicolor","Columbidae","Columbiformes","Pied Imperial-Pigeon",3.314083351,"Ducula bicolor","Columbiformes","Ducula bicolor"
"832","Ducula spilorrhoa","Columbidae","Columbiformes","Torresian Imperial-Pigeon",1.8762173245,"Ducula spilorrhoa","Columbiformes","Ducula spilorrhoa"
"833","Geopelia humeralis","Columbidae","Columbiformes","Bar-shouldered Dove",1.13823544825,"Geopelia humeralis","Columbiformes","Geopelia humeralis"
"834","Geopelia placida","Columbidae","Columbiformes","Peaceful Dove",0.790157122166667,"Geopelia placida","Columbiformes","Geopelia placida"
"835","Geopelia striata","Columbidae","Columbiformes","Zebra Dove",2.30602445914286,"Geopelia striata","Columbiformes","Geopelia striata"
"836","Geophaps scripta","Columbidae","Columbiformes","Squatter Pigeon",0.02843021,"Geophaps scripta","Columbiformes","Geophaps scripta"
"837","Geotrygon albifacies","Columbidae","Columbiformes","White-faced Quail-Dove",0.126887749,"Zentrygon albifacies","Columbiformes","Zentrygon albifacies"
"838","Geotrygon carrikeri","Columbidae","Columbiformes","Tuxtla Quail-Dove",0,"Zentrygon carrikeri","Columbiformes","Zentrygon carrikeri"
"839","Geotrygon frenata","Columbidae","Columbiformes","White-throated Quail-Dove",0.11515842,"Zentrygon frenata","Columbiformes","Zentrygon frenata"
"840","Geotrygon linearis","Columbidae","Columbiformes","Lined Quail-Dove",0.166813051,"Zentrygon linearis","Columbiformes","Zentrygon linearis"
"841","Geotrygon montana","Columbidae","Columbiformes","Ruddy Quail-Dove",0.6980271175,"Geotrygon montana","Columbiformes","Geotrygon montana"
"842","Geotrygon versicolor","Columbidae","Columbiformes","Crested Quail-Dove",0.247756376,"Geotrygon versicolor","Columbiformes","Geotrygon versicolor"
"843","Hemiphaga novaeseelandiae","Columbidae","Columbiformes","New Zealand Pigeon",0.6099900955,"Hemiphaga novaeseelandiae","Columbiformes","Hemiphaga novaeseelandiae"
"844","Leptotila cassini","Columbidae","Columbiformes","Gray-chested Dove",0.542514272,"Leptotila cassinii","Columbiformes","Leptotila cassinii"
"845","Leptotila jamaicensis","Columbidae","Columbiformes","Caribbean Dove",1.333640828,"Leptotila jamaicensis","Columbiformes","Leptotila jamaicensis"
"846","Leptotila pallida","Columbidae","Columbiformes","Pallid Dove",0.321887817,"Leptotila pallida","Columbiformes","Leptotila pallida"
"847","Leptotila plumbeiceps","Columbidae","Columbiformes","Gray-headed Dove",0.039400492,"Leptotila plumbeiceps","Columbiformes","Leptotila plumbeiceps"
"848","Leptotila rufaxilla","Columbidae","Columbiformes","Gray-fronted Dove",0.76115818175,"Leptotila rufaxilla","Columbiformes","Leptotila rufaxilla"
"849","Leptotila verreauxi","Columbidae","Columbiformes","White-tipped Dove",1.22152232662069,"Leptotila verreauxi","Columbiformes","Leptotila verreauxi"
"850","Leucosarcia melanoleuca","Columbidae","Columbiformes","Wonga Pigeon",0.424758488,"Leucosarcia melanoleuca","Columbiformes","Leucosarcia melanoleuca"
"851","Lopholaimus antarcticus","Columbidae","Columbiformes","Topknot Pigeon",0.656979147333333,"Lopholaimus antarcticus","Columbiformes","Lopholaimus antarcticus"
"852","Macropygia phasianella","Columbidae","Columbiformes","Brown Cuckoo-Dove",0.389691912,"Macropygia phasianella","Columbiformes","Macropygia phasianella"
"853","Macropygia ruficeps","Columbidae","Columbiformes","Little Cuckoo-Dove",0.234663837,"Macropygia ruficeps","Columbiformes","Macropygia ruficeps"
"854","Macropygia rufipennis","Columbidae","Columbiformes","Andaman Cuckoo-Dove",0.119900151,"Macropygia rufipennis","Columbiformes","Macropygia rufipennis"
"855","Macropygia tenuirostris","Columbidae","Columbiformes","Philippine Cuckoo-Dove",0.573062174,"Macropygia tenuirostris","Columbiformes","Macropygia tenuirostris"
"856","Metriopelia ceciliae","Columbidae","Columbiformes","Bare-faced Ground Dove",0.930224493,"Metriopelia ceciliae","Columbiformes","Metriopelia ceciliae"
"857","Metriopelia melanoptera","Columbidae","Columbiformes","Black-winged Ground Dove",0.397789477,"Metriopelia melanoptera","Columbiformes","Metriopelia melanoptera"
"858","Ocyphaps lophotes","Columbidae","Columbiformes","Crested Pigeon",1.590927065,"Ocyphaps lophotes","Columbiformes","Ocyphaps lophotes"
"859","Oena capensis","Columbidae","Columbiformes","Namaqua Dove",0.3880477865,"Oena capensis","Columbiformes","Oena capensis"
"860","Patagioenas araucana","Columbidae","Columbiformes","Chilean Pigeon",1.4280343285,"Patagioenas araucana","Columbiformes","Patagioenas araucana"
"861","Patagioenas caribaea","Columbidae","Columbiformes","Ring-tailed Pigeon",0.35734444,"Patagioenas caribaea","Columbiformes","Patagioenas caribaea"
"862","Patagioenas cayennensis","Columbidae","Columbiformes","Pale-vented Pigeon",1.6616856095,"Patagioenas cayennensis","Columbiformes","Patagioenas cayennensis"
"863","Patagioenas fasciata","Columbidae","Columbiformes","Band-tailed Pigeon",1.13170760525,"Patagioenas fasciata","Columbiformes","Patagioenas fasciata"
"864","Patagioenas flavirostris","Columbidae","Columbiformes","Red-billed Pigeon",1.04854929983333,"Patagioenas flavirostris","Columbiformes","Patagioenas flavirostris"
"865","Patagioenas inornata","Columbidae","Columbiformes","Plain Pigeon",0.364411246,"Patagioenas inornata","Columbiformes","Patagioenas inornata"
"866","Patagioenas leucocephala","Columbidae","Columbiformes","White-crowned Pigeon",1.77537583333333,"Patagioenas leucocephala","Columbiformes","Patagioenas leucocephala"
"867","Patagioenas maculosa","Columbidae","Columbiformes","Spot-winged Pigeon",2.2413174564,"Patagioenas maculosa","Columbiformes","Patagioenas maculosa"
"868","Patagioenas nigrirostris","Columbidae","Columbiformes","Short-billed Pigeon",0.317033306,"Patagioenas nigrirostris","Columbiformes","Patagioenas nigrirostris"
"869","Patagioenas picazuro","Columbidae","Columbiformes","Picazuro Pigeon",2.11624862061538,"Patagioenas picazuro","Columbiformes","Patagioenas picazuro"
"870","Patagioenas plumbea","Columbidae","Columbiformes","Plumbeous Pigeon",0.5951459774,"Patagioenas plumbea","Columbiformes","Patagioenas plumbea"
"871","Patagioenas speciosa","Columbidae","Columbiformes","Scaled Pigeon",0.345887995,"Patagioenas speciosa","Columbiformes","Patagioenas speciosa"
"872","Patagioenas squamosa","Columbidae","Columbiformes","Scaly-naped Pigeon",0.847325812,"Patagioenas squamosa","Columbiformes","Patagioenas squamosa"
"873","Patagioenas subvinacea","Columbidae","Columbiformes","Ruddy Pigeon",0.6431148696,"Patagioenas subvinacea","Columbiformes","Patagioenas subvinacea"
"874","Phapitreron leucotis","Columbidae","Columbiformes","White-eared Brown-Dove",1.076678536,"Phapitreron leucotis","Columbiformes","Phapitreron leucotis"
"875","Phaps chalcoptera","Columbidae","Columbiformes","Common Bronzewing",0.776746969,"Phaps chalcoptera","Columbiformes","Phaps chalcoptera"
"876","Phaps elegans","Columbidae","Columbiformes","Brush Bronzewing",0.3178549385,"Phaps elegans","Columbiformes","Phaps elegans"
"877","Ptilinopus jambu","Columbidae","Columbiformes","Jambu Fruit-Dove",2.93231754,"Ptilinopus jambu","Columbiformes","Ramphiculus jambu"
"878","Ptilinopus leclancheri","Columbidae","Columbiformes","Black-chinned Fruit-Dove",0.101425669,"Ptilinopus leclancheri","Columbiformes","Ramphiculus leclancheri"
"879","Ptilinopus magnificus","Columbidae","Columbiformes","Wompoo Fruit-Dove",0.061193733,"Ptilinopus magnificus","Columbiformes","Megaloprepia magnifica"
"880","Ptilinopus melanospilus","Columbidae","Columbiformes","Black-naped Fruit-Dove",2.961408054,"Ptilinopus melanospilus","Columbiformes","Ptilinopus melanospilus"
"881","Ptilinopus regina","Columbidae","Columbiformes","Rose-crowned Fruit-Dove",0.500787682333333,"Ptilinopus regina","Columbiformes","Ptilinopus regina"
"882","Ptilinopus superbus","Columbidae","Columbiformes","Superb Fruit-Dove",0.414031781,"Ptilinopus superbus","Columbiformes","Ptilinopus superbus"
"883","Streptopelia bitorquata","Columbidae","Columbiformes","Sunda Collared-Dove",2.737619168,"Streptopelia bitorquata","Columbiformes","Streptopelia bitorquata"
