,Species_Jetz,Species_eBird,Species_BirdLife,Family_eBird,CommonName_eBird,aveUAI,SciName_MUTI,MUTIscore,SciName_UN,Urban,Family_Sci,X,Family_English,Coastal,Notes
678,Trogon elegans,Trogon elegans,Trogon elegans,Trogonidae (Trogons),Elegant Trogon,0.348254567,NA,NA,NA,NA,Trogonidae,205,(Trogons),No,
679,Trogon mexicanus,Trogon mexicanus,Trogon mexicanus,Trogonidae (Trogons),Mountain Trogon,0.538640311,NA,NA,NA,NA,Trogonidae,205,(Trogons),No,
680,Trogon collaris,Trogon collaris,Trogon collaris,Trogonidae (Trogons),Collared Trogon,0.288849716,NA,NA,NA,NA,Trogonidae,205,(Trogons),No,
681,Trogon personatus,Trogon personatus,Trogon personatus,Trogonidae (Trogons),Masked Trogon,0.05615968,NA,NA,NA,NA,Trogonidae,205,(Trogons),No,
682,Harpactes fasciatus,Harpactes fasciatus,Harpactes fasciatus,Trogonidae (Trogons),Malabar Trogon,0.056121527,NA,NA,NA,NA,Trogonidae,205,(Trogons),No,
683,Harpactes whiteheadi,Harpactes whiteheadi,Harpactes whiteheadi,Trogonidae (Trogons),Whitehead's Trogon,0.399726501,NA,NA,NA,NA,Trogonidae,205,(Trogons),No,
684,Harpactes erythrocephalus,Harpactes erythrocephalus,Harpactes erythrocephalus,Trogonidae (Trogons),Red-headed Trogon,0.170745926,NA,NA,NA,NA,Trogonidae,205,(Trogons),No,
685,Upupa epops,Upupa epops,Upupa epops,Upupidae (Hoopoes),Eurasian Hoopoe,1.656773545,NA,NA,NA,NA,Upupidae,115,(Hoopoes),No,
686,Phoeniculus purpureus,Phoeniculus purpureus,Phoeniculus purpureus,Phoeniculidae (Woodhoopoes and Scimitarbills),Green Woodhoopoe,1.28124661,NA,NA,NA,NA,Phoeniculidae,114,(Woodhoopoes and Scimitarbills),No,
687,Rhinopomastus cyanomelas,Rhinopomastus cyanomelas,Rhinopomastus cyanomelas,Phoeniculidae (Woodhoopoes and Scimitarbills),Common Scimitarbill,0.195793987,NA,NA,NA,NA,Phoeniculidae,114,(Woodhoopoes and Scimitarbills),No,
688,Tockus alboterminatus,Lophoceros alboterminatus,Lophoceros alboterminatus,Bucerotidae (Hornbills),Crowned Hornbill,0.927654407,NA,NA,NA,NA,Bucerotidae,113,(Hornbills),No,
689,Tockus fasciatus,Lophoceros fasciatus,Lophoceros fasciatus,Bucerotidae (Hornbills),African Pied Hornbill,0.271083244,NA,NA,NA,NA,Bucerotidae,113,(Hornbills),No,
690,Tockus nasutus,Lophoceros nasutus,Lophoceros nasutus,Bucerotidae (Hornbills),African Gray Hornbill,1.182836459,NA,NA,NA,NA,Bucerotidae,113,(Hornbills),No,
691,Tockus erythrorhynchus,Tockus rufirostris,Tockus erythrorhynchus,Bucerotidae (Hornbills),Southern Red-billed Hornbill,0.404421402,NA,NA,NA,NA,Bucerotidae,113,(Hornbills),No,
692,Tockus erythrorhynchus,Tockus kempi,Tockus erythrorhynchus,Bucerotidae (Hornbills),Western Red-billed Hornbill,1.187732966,NA,NA,NA,NA,Bucerotidae,113,(Hornbills),No,
693,Bycanistes brevis,Bycanistes brevis,Bycanistes brevis,Bucerotidae (Hornbills),Silvery-cheeked Hornbill,2.153245904,NA,NA,NA,NA,Bucerotidae,113,(Hornbills),No,
694,Bycanistes subcylindricus,Bycanistes subcylindricus,Bycanistes subcylindricus,Bucerotidae (Hornbills),Black-and-white-casqued Hornbill,0.95311333,NA,NA,NA,NA,Bucerotidae,113,(Hornbills),No,
695,Bycanistes bucinator,Bycanistes bucinator,Bycanistes bucinator,Bucerotidae (Hornbills),Trumpeter Hornbill,1.050022558,NA,NA,NA,NA,Bucerotidae,113,(Hornbills),No,
696,Ocyceros birostris,Ocyceros birostris,Ocyceros birostris,Bucerotidae (Hornbills),Indian Gray Hornbill,1.94728433,NA,NA,NA,NA,Bucerotidae,113,(Hornbills),No,
697,Ocyceros griseus,Ocyceros griseus,Ocyceros griseus,Bucerotidae (Hornbills),Malabar Gray Hornbill,0.15535014,NA,NA,NA,NA,Bucerotidae,113,(Hornbills),No,
698,Anthracoceros albirostris,Anthracoceros albirostris,Anthracoceros albirostris,Bucerotidae (Hornbills),Oriental Pied-Hornbill,3.011417139,NA,NA,NA,NA,Bucerotidae,113,(Hornbills),No,
699,Anthracoceros marchei,Anthracoceros marchei,Anthracoceros marchei,Bucerotidae (Hornbills),Palawan Hornbill,0.07796969,NA,NA,NA,NA,Bucerotidae,113,(Hornbills),No,
700,Penelopides manillae,Penelopides manillae,Penelopides manillae,Bucerotidae (Hornbills),Luzon Hornbill,0.77911525,NA,NA,NA,NA,Bucerotidae,113,(Hornbills),No,
701,Todus multicolor,Todus multicolor,Todus multicolor,Todidae (Todies),Cuban Tody,1.236423461,NA,NA,NA,NA,Todidae,131,(Todies),No,
702,Todus subulatus,Todus subulatus,Todus subulatus,Todidae (Todies),Broad-billed Tody,0.837711833,NA,NA,NA,NA,Todidae,131,(Todies),No,
703,Todus todus,Todus todus,Todus todus,Todidae (Todies),Jamaican Tody,0.376556282,NA,NA,NA,NA,Todidae,131,(Todies),No,
704,Hylomanes momotula,Hylomanes momotula,Hylomanes momotula,Momotidae (Motmots),Tody Motmot,0.431926434,NA,NA,NA,NA,Momotidae,130,(Motmots),No,
705,Aspatha gularis,Aspatha gularis,Aspatha gularis,Momotidae (Motmots),Blue-throated Motmot,0.431302775,NA,NA,NA,NA,Momotidae,130,(Motmots),No,
706,Momotus mexicanus,Momotus mexicanus,Momotus mexicanus,Momotidae (Motmots),Russet-crowned Motmot,0.876436641,NA,NA,NA,NA,Momotidae,130,(Motmots),No,
707,Momotus momota,Momotus lessonii,Momotus lessonii,Momotidae (Motmots),Lesson's Motmot,0.744083907,NA,NA,NA,NA,Momotidae,130,(Motmots),No,
708,Momotus momota,Momotus subrufescens,Momotus subrufescens,Momotidae (Motmots),Whooping Motmot,1.208773905,NA,NA,NA,NA,Momotidae,130,(Motmots),No,
709,Momotus momota,Momotus momota,Momotus momota,Momotidae (Motmots),Amazonian Motmot,0.585257104,NA,NA,NA,NA,Momotidae,130,(Motmots),No,
710,Momotus aequatorialis,Momotus aequatorialis,Momotus aequatorialis,Momotidae (Motmots),Andean Motmot,0.193446544,NA,NA,NA,NA,Momotidae,130,(Motmots),No,
711,Baryphthengus martii,Baryphthengus martii,Baryphthengus martii,Momotidae (Motmots),Rufous Motmot,0.205317576,NA,NA,NA,NA,Momotidae,130,(Motmots),No,
712,Baryphthengus ruficapillus,Baryphthengus ruficapillus,Baryphthengus ruficapillus,Momotidae (Motmots),Rufous-capped Motmot,0.63598724,NA,NA,NA,NA,Momotidae,130,(Motmots),No,
713,Electron platyrhynchum,Electron platyrhynchum,Electron platyrhynchum,Momotidae (Motmots),Broad-billed Motmot,0.346148506,NA,NA,NA,NA,Momotidae,130,(Motmots),No,
714,Eumomota superciliosa,Eumomota superciliosa,Eumomota superciliosa,Momotidae (Motmots),Turquoise-browed Motmot,0.92600728,NA,NA,NA,NA,Momotidae,130,(Motmots),No,
715,Nyctyornis athertoni,Nyctyornis athertoni,Nyctyornis athertoni,Meropidae (Bee-eaters),Blue-bearded Bee-eater,0.964437135,NA,NA,NA,NA,Meropidae,129,(Bee-eaters),No,
716,Merops bullockoides,Merops bullockoides,Merops bullockoides,Meropidae (Bee-eaters),White-fronted Bee-eater,0.842385867,NA,NA,NA,NA,Meropidae,129,(Bee-eaters),No,
717,Merops pusillus,Merops pusillus,Merops pusillus,Meropidae (Bee-eaters),Little Bee-eater,1.155224551,NA,NA,NA,NA,Meropidae,129,(Bee-eaters),No,
718,Merops variegatus,Merops variegatus,Merops variegatus,Meropidae (Bee-eaters),Blue-breasted Bee-eater,1.05901785,NA,NA,NA,NA,Meropidae,129,(Bee-eaters),No,
719,Merops oreobates,Merops oreobates,Merops oreobates,Meropidae (Bee-eaters),Cinnamon-chested Bee-eater,1.653325358,NA,NA,NA,NA,Meropidae,129,(Bee-eaters),No,
720,Merops albicollis,Merops albicollis,Merops albicollis,Meropidae (Bee-eaters),White-throated Bee-eater,0.712913285,NA,NA,NA,NA,Meropidae,129,(Bee-eaters),No,
721,Merops orientalis,Merops orientalis,Merops orientalis,Meropidae (Bee-eaters),Asian Green Bee-eater,1.692348267,NA,NA,NA,NA,Meropidae,129,(Bee-eaters),No,
722,Merops viridis,Merops viridis,Merops viridis,Meropidae (Bee-eaters),Blue-throated Bee-eater,2.342410774,NA,NA,NA,NA,Meropidae,129,(Bee-eaters),No,
723,Merops viridis,Merops americanus,Merops americanus,Meropidae (Bee-eaters),Rufous-crowned Bee-eater,1.18858056,NA,NA,NA,NA,Meropidae,129,(Bee-eaters),No,
724,Merops persicus,Merops persicus,Merops persicus,Meropidae (Bee-eaters),Blue-cheeked Bee-eater,1.783054328,NA,NA,NA,NA,Meropidae,129,(Bee-eaters),No,
725,Merops superciliosus,Merops superciliosus,Merops superciliosus,Meropidae (Bee-eaters),Madagascar Bee-eater,1.241203283,NA,NA,NA,NA,Meropidae,129,(Bee-eaters),No,
726,Merops philippinus,Merops philippinus,Merops philippinus,Meropidae (Bee-eaters),Blue-tailed Bee-eater,1.633693918,NA,NA,NA,NA,Meropidae,129,(Bee-eaters),No,
727,Merops ornatus,Merops ornatus,Merops ornatus,Meropidae (Bee-eaters),Rainbow Bee-eater,1.042568806,NA,NA,NA,NA,Meropidae,129,(Bee-eaters),No,
728,Merops apiaster,Merops apiaster,Merops apiaster,Meropidae (Bee-eaters),European Bee-eater,1.324827145,NA,NA,NA,NA,Meropidae,129,(Bee-eaters),No,
729,Merops leschenaulti,Merops leschenaulti,Merops leschenaulti,Meropidae (Bee-eaters),Chestnut-headed Bee-eater,0.237306956,NA,NA,NA,NA,Meropidae,129,(Bee-eaters),No,
730,Coracias garrulus,Coracias garrulus,Coracias garrulus,Coraciidae (Rollers),European Roller,1.036551276,NA,NA,NA,NA,Coraciidae,128,(Rollers),No,
731,Coracias caudatus,Coracias caudatus,Coracias caudatus,Coraciidae (Rollers),Lilac-breasted Roller,0.61435336,NA,NA,NA,NA,Coraciidae,128,(Rollers),No,
732,Coracias benghalensis,Coracias benghalensis,Coracias benghalensis,Coraciidae (Rollers),Indian Roller,1.468963015,NA,NA,NA,NA,Coraciidae,128,(Rollers),No,
733,Coracias benghalensis,Coracias affinis,Coracias affinis,Coraciidae (Rollers),Indochinese Roller,1.645456614,NA,NA,NA,NA,Coraciidae,128,(Rollers),No,
734,Eurystomus glaucurus,Eurystomus glaucurus,Eurystomus glaucurus,Coraciidae (Rollers),Broad-billed Roller,1.053327221,NA,NA,NA,NA,Coraciidae,128,(Rollers),No,
735,Eurystomus orientalis,Eurystomus orientalis,Eurystomus orientalis,Coraciidae (Rollers),Dollarbird,1.558660312,NA,NA,NA,NA,Coraciidae,128,(Rollers),No,
736,Notharchus hyperrhynchus,Notharchus hyperrhynchus,Notharchus hyperrhynchus,Bucconidae (Puffbirds),White-necked Puffbird,0.592766374,NA,NA,NA,NA,Bucconidae,190,(Puffbirds),No,
737,Notharchus macrorhynchos,Notharchus macrorhynchos,Notharchus macrorhynchos,Bucconidae (Puffbirds),Guianan Puffbird,2.325984377,NA,NA,NA,NA,Bucconidae,190,(Puffbirds),No,
738,Notharchus swainsoni,Notharchus swainsoni,Notharchus swainsoni,Bucconidae (Puffbirds),Buff-bellied Puffbird,1.408643038,NA,NA,NA,NA,Bucconidae,190,(Puffbirds),No,
739,Notharchus pectoralis,Notharchus pectoralis,Notharchus pectoralis,Bucconidae (Puffbirds),Black-breasted Puffbird,0.228921229,NA,NA,NA,NA,Bucconidae,190,(Puffbirds),No,
740,Notharchus tectus,Notharchus tectus,Notharchus tectus,Bucconidae (Puffbirds),Pied Puffbird,0.304467517,NA,NA,NA,NA,Bucconidae,190,(Puffbirds),No,
741,Nystalus radiatus,Nystalus radiatus,Nystalus radiatus,Bucconidae (Puffbirds),Barred Puffbird,0.510169567,NA,NA,NA,NA,Bucconidae,190,(Puffbirds),No,
742,Nystalus chacuru,Nystalus chacuru,Nystalus chacuru,Bucconidae (Puffbirds),White-eared Puffbird,0.891994906,NA,NA,NA,NA,Bucconidae,190,(Puffbirds),No,
743,Nystalus maculatus,Nystalus maculatus,Nystalus maculatus,Bucconidae (Puffbirds),Spot-backed Puffbird,1.161743955,NA,NA,NA,NA,Bucconidae,190,(Puffbirds),No,
744,Hypnelus ruficollis,Hypnelus ruficollis,Hypnelus ruficollis,Bucconidae (Puffbirds),Russet-throated Puffbird,1.451501506,NA,NA,NA,NA,Bucconidae,190,(Puffbirds),No,
745,Malacoptila striata,Malacoptila striata,Malacoptila striata,Bucconidae (Puffbirds),Crescent-chested Puffbird,1.36474266,NA,NA,NA,NA,Bucconidae,190,(Puffbirds),No,
746,Malacoptila panamensis,Malacoptila panamensis,Malacoptila panamensis,Bucconidae (Puffbirds),White-whiskered Puffbird,0.272470245,NA,NA,NA,NA,Bucconidae,190,(Puffbirds),No,
747,Malacoptila mystacalis,Malacoptila mystacalis,Malacoptila mystacalis,Bucconidae (Puffbirds),Moustached Puffbird,0.486197538,NA,NA,NA,NA,Bucconidae,190,(Puffbirds),No,
748,Monasa atra,Monasa atra,Monasa atra,Bucconidae (Puffbirds),Black Nunbird,1.656950598,NA,NA,NA,NA,Bucconidae,190,(Puffbirds),No,
749,Monasa nigrifrons,Monasa nigrifrons,Monasa nigrifrons,Bucconidae (Puffbirds),Black-fronted Nunbird,0.449581982,NA,NA,NA,NA,Bucconidae,190,(Puffbirds),No,
750,Chelidoptera tenebrosa,Chelidoptera tenebrosa,Chelidoptera tenebrosa,Bucconidae (Puffbirds),Swallow-winged Puffbird,0.490140014,NA,NA,NA,NA,Bucconidae,190,(Puffbirds),No,
751,Galbalcyrhynchus leucotis,Galbalcyrhynchus leucotis,Galbalcyrhynchus leucotis,Galbulidae (Jacamars),White-eared Jacamar,0.111190145,NA,NA,NA,NA,Galbulidae,191,(Jacamars),No,
752,Galbula ruficauda,Galbula ruficauda,Galbula ruficauda,Galbulidae (Jacamars),Rufous-tailed Jacamar,1.306589123,NA,NA,NA,NA,Galbulidae,191,(Jacamars),No,
753,Galbula tombacea,Galbula tombacea,Galbula tombacea,Galbulidae (Jacamars),White-chinned Jacamar,0.467269703,NA,NA,NA,NA,Galbulidae,191,(Jacamars),No,
754,Galbula cyanescens,Galbula cyanescens,Galbula cyanescens,Galbulidae (Jacamars),Bluish-fronted Jacamar,0.025756195,NA,NA,NA,NA,Galbulidae,191,(Jacamars),No,
755,Galbula dea,Galbula dea,Galbula dea,Galbulidae (Jacamars),Paradise Jacamar,0.811192724,NA,NA,NA,NA,Galbulidae,191,(Jacamars),No,
756,Jacamerops aureus,Jacamerops aureus,Jacamerops aureus,Galbulidae (Jacamars),Great Jacamar,0.318071165,NA,NA,NA,NA,Galbulidae,191,(Jacamars),No,
757,Trachyphonus vaillantii,Trachyphonus vaillantii,Trachyphonus vaillantii,Lybiidae (African Barbets),Crested Barbet,1.589595617,NA,NA,NA,NA,Lybiidae,39,(African Barbets),No,NA
758,Trachyphonus darnaudii,Trachyphonus darnaudii,Trachyphonus darnaudii,Lybiidae (African Barbets),D'Arnaud's Barbet,0.755035543,NA,NA,NA,NA,Lybiidae,39,(African Barbets),No,NA
759,Stactolaema leucotis,Stactolaema leucotis,Stactolaema leucotis,Lybiidae (African Barbets),White-eared Barbet,2.094688168,NA,NA,NA,NA,Lybiidae,39,(African Barbets),No,NA
760,Pogoniulus scolopaceus,Pogoniulus scolopaceus,Pogoniulus scolopaceus,Lybiidae (African Barbets),Speckled Tinkerbird,0.161367408,NA,NA,NA,NA,Lybiidae,39,(African Barbets),No,NA
761,Pogoniulus subsulphureus,Pogoniulus subsulphureus,Pogoniulus subsulphureus,Lybiidae (African Barbets),Yellow-throated Tinkerbird,0.21682823,NA,NA,NA,NA,Lybiidae,39,(African Barbets),No,NA
762,Pogoniulus bilineatus,Pogoniulus bilineatus,Pogoniulus bilineatus,Lybiidae (African Barbets),Yellow-rumped Tinkerbird,1.404923355,NA,NA,NA,NA,Lybiidae,39,(African Barbets),No,NA
763,Pogoniulus pusillus,Pogoniulus pusillus,Pogoniulus pusillus,Lybiidae (African Barbets),Red-fronted Tinkerbird,1.099555043,NA,NA,NA,NA,Lybiidae,39,(African Barbets),No,NA
764,Pogoniulus chrysoconus,Pogoniulus chrysoconus,Pogoniulus chrysoconus,Lybiidae (African Barbets),Yellow-fronted Tinkerbird,1.080278813,NA,NA,NA,NA,Lybiidae,39,(African Barbets),No,NA
765,Tricholaema diademata,Tricholaema diademata,Tricholaema diademata,Lybiidae (African Barbets),Red-fronted Barbet,0.818217937,NA,NA,NA,NA,Lybiidae,39,(African Barbets),No,NA
766,Tricholaema lacrymosa,Tricholaema lacrymosa,Tricholaema lacrymosa,Lybiidae (African Barbets),Spot-flanked Barbet,1.604627038,NA,NA,NA,NA,Lybiidae,39,(African Barbets),No,NA
767,Lybius undatus,Lybius undatus,Lybius undatus,Lybiidae (African Barbets),Banded Barbet,2.039510399,NA,NA,NA,NA,Lybiidae,39,(African Barbets),No,NA
768,Lybius leucocephalus,Lybius leucocephalus,Lybius leucocephalus,Lybiidae (African Barbets),White-headed Barbet,1.65737856,NA,NA,NA,NA,Lybiidae,39,(African Barbets),No,NA
769,Lybius torquatus,Lybius torquatus,Lybius torquatus,Lybiidae (African Barbets),Black-collared Barbet,1.687096021,NA,NA,NA,NA,Lybiidae,39,(African Barbets),No,NA
770,Lybius bidentatus,Lybius bidentatus,Pogonornis bidentatus,Lybiidae (African Barbets),Double-toothed Barbet,1.474680588,NA,NA,NA,NA,Lybiidae,39,(African Barbets),No,NA
771,Megalaima rubricapillus,Psilopogon malabaricus,Psilopogon malabaricus,Megalaimidae (Asian Barbets),Malabar Barbet,0.09225047,NA,NA,NA,NA,Megalaimidae,40,(Asian Barbets),No,NA
772,Megalaima haemacephala,Psilopogon haemacephalus,Psilopogon haemacephalus,Megalaimidae (Asian Barbets),Coppersmith Barbet,2.361356488,NA,NA,NA,NA,Megalaimidae,40,(Asian Barbets),No,NA
773,Megalaima australis,Psilopogon duvaucelii,Psilopogon duvaucelii,Megalaimidae (Asian Barbets),Blue-eared Barbet,0.052371222,NA,NA,NA,NA,Megalaimidae,40,(Asian Barbets),No,NA
774,Megalaima eximia,Psilopogon eximius,Psilopogon eximius,Megalaimidae (Asian Barbets),Bornean Barbet,0.035653343,NA,NA,NA,NA,Megalaimidae,40,(Asian Barbets),No,NA
775,Megalaima virens,Psilopogon virens,Psilopogon virens,Megalaimidae (Asian Barbets),Great Barbet,1.72904753,NA,NA,NA,NA,Megalaimidae,40,(Asian Barbets),No,NA
776,Megalaima rafflesii,Psilopogon rafflesii,Psilopogon rafflesii,Megalaimidae (Asian Barbets),Red-crowned Barbet,2.662300007,NA,NA,NA,NA,Megalaimidae,40,(Asian Barbets),No,NA
777,Megalaima pulcherrima,Psilopogon pulcherrimus,Psilopogon pulcherrimus,Megalaimidae (Asian Barbets),Golden-naped Barbet,0.301277726,NA,NA,NA,NA,Megalaimidae,40,(Asian Barbets),No,NA
778,Megalaima armillaris,Psilopogon armillaris,Psilopogon armillaris,Megalaimidae (Asian Barbets),Flame-fronted Barbet,0.238629503,NA,NA,NA,NA,Megalaimidae,40,(Asian Barbets),No,NA
779,Megalaima lineata,Psilopogon lineatus,Psilopogon lineatus,Megalaimidae (Asian Barbets),Lineated Barbet,1.957585098,NA,NA,NA,NA,Megalaimidae,40,(Asian Barbets),No,NA
780,Megalaima zeylanica,Psilopogon zeylanicus,Psilopogon zeylanicus,Megalaimidae (Asian Barbets),Brown-headed Barbet,1.314553427,NA,NA,NA,NA,Megalaimidae,40,(Asian Barbets),No,NA
781,Megalaima viridis,Psilopogon viridis,Psilopogon viridis,Megalaimidae (Asian Barbets),White-cheeked Barbet,1.445840384,NA,NA,NA,NA,Megalaimidae,40,(Asian Barbets),No,NA
782,Megalaima monticola,Psilopogon monticola,Psilopogon monticola,Megalaimidae (Asian Barbets),Mountain Barbet,0.145999345,NA,NA,NA,NA,Megalaimidae,40,(Asian Barbets),No,NA
783,Megalaima chrysopogon,Psilopogon chrysopogon,Psilopogon chrysopogon,Megalaimidae (Asian Barbets),Gold-whiskered Barbet,0.108386428,NA,NA,NA,NA,Megalaimidae,40,(Asian Barbets),No,NA
784,Megalaima nuchalis,Psilopogon nuchalis,Psilopogon nuchalis,Megalaimidae (Asian Barbets),Taiwan Barbet,2.538816809,NA,NA,NA,NA,Megalaimidae,40,(Asian Barbets),No,NA
785,Megalaima asiatica,Psilopogon asiaticus,Psilopogon asiaticus,Megalaimidae (Asian Barbets),Blue-throated Barbet,0.687529602,NA,NA,NA,NA,Megalaimidae,40,(Asian Barbets),No,NA
786,Capito aurovirens,Capito aurovirens,Capito aurovirens,Capitonidae (New World Barbets),Scarlet-crowned Barbet,0.126843336,NA,NA,NA,NA,Capitonidae,38,(New World Barbets),No,NA
787,Capito maculicoronatus,Capito maculicoronatus,Capito maculicoronatus,Capitonidae (New World Barbets),Spot-crowned Barbet,0.369718961,NA,NA,NA,NA,Capitonidae,38,(New World Barbets),No,NA
788,Capito niger,Capito niger,Capito niger,Capitonidae (New World Barbets),Black-spotted Barbet,1.868713799,NA,NA,NA,NA,Capitonidae,38,(New World Barbets),No,NA
789,Capito auratus,Capito auratus,Capito auratus,Capitonidae (New World Barbets),Gilded Barbet,0.375231067,NA,NA,NA,NA,Capitonidae,38,(New World Barbets),No,NA
790,Eubucco richardsoni,Eubucco richardsoni,Eubucco richardsoni,Capitonidae (New World Barbets),Lemon-throated Barbet,0.00276385,NA,NA,NA,NA,Capitonidae,38,(New World Barbets),No,NA
791,Eubucco bourcierii,Eubucco bourcierii,Eubucco bourcierii,Capitonidae (New World Barbets),Red-headed Barbet,0.221367167,NA,NA,NA,NA,Capitonidae,38,(New World Barbets),No,NA
792,Eubucco versicolor,Eubucco versicolor,Eubucco versicolor,Capitonidae (New World Barbets),Versicolored Barbet,0.03941006,NA,NA,NA,NA,Capitonidae,38,(New World Barbets),No,NA
793,Aulacorhynchus prasinus,Aulacorhynchus prasinus,Aulacorhynchus prasinus,Ramphastidae (Toucans),Northern Emerald-Toucanet,0.309278463,NA,NA,NA,NA,Ramphastidae,193,(Toucans),No,
794,Aulacorhynchus prasinus,Aulacorhynchus albivitta,Aulacorhynchus albivitta,Ramphastidae (Toucans),Southern Emerald-Toucanet,0.072387188,NA,NA,NA,NA,Ramphastidae,193,(Toucans),No,
795,Aulacorhynchus sulcatus,Aulacorhynchus sulcatus,Aulacorhynchus sulcatus,Ramphastidae (Toucans),Groove-billed Toucanet,0.845933892,NA,NA,NA,NA,Ramphastidae,193,(Toucans),No,
796,Aulacorhynchus haematopygus,Aulacorhynchus haematopygus,Aulacorhynchus haematopygus,Ramphastidae (Toucans),Crimson-rumped Toucanet,0.100511721,NA,NA,NA,NA,Ramphastidae,193,(Toucans),No,
797,Aulacorhynchus coeruleicinctis,Aulacorhynchus coeruleicinctis,Aulacorhynchus coeruleicinctis,Ramphastidae (Toucans),Blue-banded Toucanet,0.050860528,NA,NA,NA,NA,Ramphastidae,193,(Toucans),No,
798,Andigena hypoglauca,Andigena hypoglauca,Andigena hypoglauca,Ramphastidae (Toucans),Gray-breasted Mountain-Toucan,0.008645685,NA,NA,NA,NA,Ramphastidae,193,(Toucans),No,
799,Andigena nigrirostris,Andigena nigrirostris,Andigena nigrirostris,Ramphastidae (Toucans),Black-billed Mountain-Toucan,0.029819827,NA,NA,NA,NA,Ramphastidae,193,(Toucans),No,
800,Pteroglossus viridis,Pteroglossus viridis,Pteroglossus viridis,Ramphastidae (Toucans),Green Aracari,2.08508004,NA,NA,NA,NA,Ramphastidae,193,(Toucans),No,
801,Pteroglossus inscriptus,Pteroglossus inscriptus,Pteroglossus inscriptus,Ramphastidae (Toucans),Lettered Aracari,0.540226176,NA,NA,NA,NA,Ramphastidae,193,(Toucans),No,
802,Pteroglossus torquatus,Pteroglossus torquatus,Pteroglossus torquatus,Ramphastidae (Toucans),Collared Aracari,0.305672604,NA,NA,NA,NA,Ramphastidae,193,(Toucans),No,
803,Pteroglossus aracari,Pteroglossus aracari,Pteroglossus aracari,Ramphastidae (Toucans),Black-necked Aracari,2.737328357,NA,NA,NA,NA,Ramphastidae,193,(Toucans),No,
804,Pteroglossus castanotis,Pteroglossus castanotis,Pteroglossus castanotis,Ramphastidae (Toucans),Chestnut-eared Aracari,0.644637727,NA,NA,NA,NA,Ramphastidae,193,(Toucans),No,
805,Pteroglossus pluricinctus,Pteroglossus pluricinctus,Pteroglossus pluricinctus,Ramphastidae (Toucans),Many-banded Aracari,0.107347472,NA,NA,NA,NA,Ramphastidae,193,(Toucans),No,
806,Selenidera spectabilis,Selenidera spectabilis,Selenidera spectabilis,Ramphastidae (Toucans),Yellow-eared Toucanet,0.303669138,NA,NA,NA,NA,Ramphastidae,193,(Toucans),No,
807,Selenidera piperivora,Selenidera piperivora,Selenidera piperivora,Ramphastidae (Toucans),Guianan Toucanet,2.346612599,NA,NA,NA,NA,Ramphastidae,193,(Toucans),No,
808,Ramphastos toco,Ramphastos toco,Ramphastos toco,Ramphastidae (Toucans),Toco Toucan,1.489295127,NA,NA,NA,NA,Ramphastidae,193,(Toucans),No,
809,Ramphastos ambiguus,Ramphastos ambiguus,Ramphastos ambiguus,Ramphastidae (Toucans),Yellow-throated Toucan,0.659244,NA,NA,NA,NA,Ramphastidae,193,(Toucans),No,
810,Ramphastos tucanus,Ramphastos tucanus,Ramphastos tucanus,Ramphastidae (Toucans),White-throated Toucan,0.748665928,NA,NA,NA,NA,Ramphastidae,193,(Toucans),No,
811,Ramphastos sulfuratus,Ramphastos sulfuratus,Ramphastos sulfuratus,Ramphastidae (Toucans),Keel-billed Toucan,0.52426856,NA,NA,NA,NA,Ramphastidae,193,(Toucans),No,
812,Ramphastos brevis,Ramphastos brevis,Ramphastos brevis,Ramphastidae (Toucans),Choco Toucan,0.00610378,NA,NA,NA,NA,Ramphastidae,193,(Toucans),No,
813,Ramphastos vitellinus,Ramphastos vitellinus,Ramphastos vitellinus,Ramphastidae (Toucans),Channel-billed Toucan,0.91599705,NA,NA,NA,NA,Ramphastidae,193,(Toucans),No,
814,Ramphastos dicolorus,Ramphastos dicolorus,Ramphastos dicolorus,Ramphastidae (Toucans),Red-breasted Toucan,1.670669158,NA,NA,NA,NA,Ramphastidae,193,(Toucans),No,
815,Prodotiscus zambesiae,Prodotiscus zambesiae,Prodotiscus zambesiae,Indicatoridae (Honeyguides),Green-backed Honeyguide,1.646880501,NA,NA,NA,NA,Indicatoridae,192,(Honeyguides),No,
816,Prodotiscus regulus,Prodotiscus regulus,Prodotiscus regulus,Indicatoridae (Honeyguides),Wahlberg's Honeyguide,2.287465479,NA,NA,NA,NA,Indicatoridae,192,(Honeyguides),No,
817,Indicator minor,Indicator minor,Indicator minor,Indicatoridae (Honeyguides),Lesser Honeyguide,1.786507339,NA,NA,NA,NA,Indicatoridae,192,(Honeyguides),No,
818,Indicator indicator,Indicator indicator,Indicator indicator,Indicatoridae (Honeyguides),Greater Honeyguide,2.448872794,NA,NA,NA,NA,Indicatoridae,192,(Honeyguides),No,
819,Jynx torquilla,Jynx torquilla,Jynx torquilla,Picidae (Woodpeckers),Eurasian Wryneck,1.887926633,NA,NA,NA,NA,Picidae,49,(Woodpeckers),No,
820,Jynx ruficollis,Jynx ruficollis,Jynx ruficollis,Picidae (Woodpeckers),Rufous-necked Wryneck,1.785400306,NA,NA,NA,NA,Picidae,49,(Woodpeckers),No,
821,Picumnus innominatus,Picumnus innominatus,Picumnus innominatus,Picidae (Woodpeckers),Speckled Piculet,1.422951758,NA,NA,NA,NA,Picidae,49,(Woodpeckers),No,
