,Species_Jetz,Species_eBird,Species_BirdLife,Family_eBird,CommonName_eBird,aveUAI,SciName_MUTI,MUTIscore,SciName_UN,Urban,Family_Sci,X,Family_English,Coastal,Notes
15,Crypturellus cinnamomeus,Crypturellus cinnamomeus,Crypturellus cinnamomeus,Tinamidae (Tinamous),Thicket Tinamou,0.395836373,NA,NA,NA,NA,Tinamidae,204,(Tinamous),No,
16,Crypturellus parvirostris,Crypturellus parvirostris,Crypturellus parvirostris,Tinamidae (Tinamous),Small-billed Tinamou,1.005850098,NA,NA,NA,NA,Tinamidae,204,(Tinamous),No,
17,Crypturellus tataupa,Crypturellus tataupa,Crypturellus tataupa,Tinamidae (Tinamous),Tataupa Tinamou,0.641026748,NA,NA,NA,NA,Tinamidae,204,(Tinamous),No,
18,Rhynchotus rufescens,Rhynchotus rufescens,Rhynchotus rufescens,Tinamidae (Tinamous),Red-winged Tinamou,0.742917074,NA,NA,NA,NA,Tinamidae,204,(Tinamous),No,
19,Nothoprocta ornata,Nothoprocta ornata,Nothoprocta ornata,Tinamidae (Tinamous),Ornate Tinamou,0.398928163,NA,NA,NA,NA,Tinamidae,204,(Tinamous),No,
20,Nothoprocta perdicaria,Nothoprocta perdicaria,Nothoprocta perdicaria,Tinamidae (Tinamous),Chilean Tinamou,0.665302847,NA,NA,NA,NA,Tinamidae,204,(Tinamous),No,
21,Nothoprocta cinerascens,Nothoprocta cinerascens,Nothoprocta cinerascens,Tinamidae (Tinamous),Brushland Tinamou,1.055557589,NA,NA,NA,NA,Tinamidae,204,(Tinamous),No,
22,Nothoprocta pentlandii,Nothoprocta pentlandii,Nothoprocta pentlandii,Tinamidae (Tinamous),Andean Tinamou,0.378682951,NA,NA,NA,NA,Tinamidae,204,(Tinamous),No,
23,Nothura boraquira,Nothura boraquira,Nothura boraquira,Tinamidae (Tinamous),White-bellied Nothura,0.900636307,NA,NA,NA,NA,Tinamidae,204,(Tinamous),No,
24,Nothura maculosa,Nothura maculosa,Nothura maculosa,Tinamidae (Tinamous),Spotted Nothura,0.830590302,NA,NA,NA,NA,Tinamidae,204,(Tinamous),No,
25,Dromaius novaehollandiae,Dromaius novaehollandiae,Dromaius novaehollandiae,Casuariidae (Cassowaries and Emu),Emu,1.025236875,NA,NA,NA,NA,Casuariidae,118,(Cassowaries and Emu),No,
26,Apteryx mantelli,Apteryx mantelli,Apteryx mantelli,Apterygidae (Kiwis),North Island Brown Kiwi,0.011588561,NA,NA,NA,NA,Apterygidae,112,(Kiwis),No,
27,Apteryx owenii,Apteryx owenii,Apteryx owenii,Apterygidae (Kiwis),Little Spotted Kiwi,0.025378971,NA,NA,NA,NA,Apterygidae,112,(Kiwis),No,
28,Anhima cornuta,Anhima cornuta,Anhima cornuta,Anhimidae (Screamers),Horned Screamer,0.102651497,NA,NA,NA,NA,Anhimidae,108,(Screamers),No,"Freshwater habitats like swamps, marshes, lagoons "
29,Chauna torquata,Chauna torquata,Chauna torquata,Anhimidae (Screamers),Southern Screamer,1.416287336,NA,NA,NA,NA,Anhimidae,108,(Screamers),No,"Freshwater habitats like swamps, marshes, lagoons "
30,Anseranas semipalmata,Anseranas semipalmata,Anseranas semipalmata,Anseranatidae (Magpie Goose),Magpie Goose,1.392801408,NA,NA,NA,NA,Anseranatidae,109,(Magpie Goose),No,
31,Alectura lathami,Alectura lathami,Alectura lathami,Megapodiidae (Megapodes),Australian Brushturkey,1.438244687,NA,NA,NA,NA,Megapodiidae,134,(Megapodes),No,
32,Megapodius reinwardt,Megapodius reinwardt,Megapodius reinwardt,Megapodiidae (Megapodes),Orange-footed Megapode,1.247367693,NA,NA,NA,NA,Megapodiidae,134,(Megapodes),No,
33,Ortalis vetula,Ortalis vetula,Ortalis vetula,"Cracidae (Guans, Chachalacas, and Curassows)",Plain Chachalaca,0.946162362,NA,NA,NA,NA,Cracidae,133,"(Guans, Chachalacas, and Curassows)",No,
34,Ortalis cinereiceps,Ortalis cinereiceps,Ortalis cinereiceps,"Cracidae (Guans, Chachalacas, and Curassows)",Gray-headed Chachalaca,1.237008595,NA,NA,NA,NA,Cracidae,133,"(Guans, Chachalacas, and Curassows)",No,
35,Ortalis ruficauda,Ortalis ruficauda,Ortalis ruficauda,"Cracidae (Guans, Chachalacas, and Curassows)",Rufous-vented Chachalaca,2.828487564,NA,NA,NA,NA,Cracidae,133,"(Guans, Chachalacas, and Curassows)",No,
