,Species_Jetz,Species_eBird,Species_BirdLife,Family_eBird,CommonName_eBird,aveUAI,SciName_MUTI,MUTIscore,SciName_UN,Urban,Family_Sci,Family_English,Coastal,Notes
26,Ictinaetus malayensis,Ictinaetus malaiensis,Ictinaetus malaiensis,"Accipitridae (Hawks, Eagles, and Kites)",Black Eagle,0.603969485,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
27,Aquila pomarina,Clanga pomarina,Clanga pomarina,"Accipitridae (Hawks, Eagles, and Kites)",Lesser Spotted Eagle,1.800533558,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
28,Aquila hastata,Clanga hastata,Clanga hastata,"Accipitridae (Hawks, Eagles, and Kites)",Indian Spotted Eagle,1.490141911,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
29,Aquila wahlbergi,Hieraaetus wahlbergi,Hieraaetus wahlbergi,"Accipitridae (Hawks, Eagles, and Kites)",Wahlberg's Eagle,0.738571399,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
30,Hieraaetus pennatus,Hieraaetus pennatus,Hieraaetus pennatus,"Accipitridae (Hawks, Eagles, and Kites)",Booted Eagle,1.578710078,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
31,Hieraaetus morphnoides,Hieraaetus morphnoides,Hieraaetus morphnoides,"Accipitridae (Hawks, Eagles, and Kites)",Little Eagle,1.237476805,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
32,Aquila adalberti,Aquila adalberti,Aquila adalberti,"Accipitridae (Hawks, Eagles, and Kites)",Spanish Eagle,1.135287727,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
33,Aquila heliaca,Aquila heliaca,Aquila heliaca,"Accipitridae (Hawks, Eagles, and Kites)",Imperial Eagle,1.216922654,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
34,Aquila chrysaetos,Aquila chrysaetos,Aquila chrysaetos,"Accipitridae (Hawks, Eagles, and Kites)",Golden Eagle,0.833531358,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,coastlines
35,Aquila audax,Aquila audax,Aquila audax,"Accipitridae (Hawks, Eagles, and Kites)",Wedge-tailed Eagle,0.542604742,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",No,no mention of coastal
