"184","Cape White-eye"
"185","Snowy-browed Nuthatch"
"186","Western Rock Nuthatch"
"187","Eastern Rock Nuthatch"
"188","Tropical Gnatcatcher"
"189","Rock Wren"
"190","House Wren"
"191","Pacific Wren"
"192","Sedge Wren"
"193","Grass Wren"
"194","Marsh Wren"
"195","Bay Wren"
"196","Bank Myna"
"197","Cape Starling"
"198","Bahama Mockingbird"
"199","Tropical Mockingbird"
"200","Swamp Flycatcher"
"201","Karoo Scrub-Robin"
"202","Bearded Scrub-Robin"
"203","Red-backed Scrub-Robin"
"204","Mangrove Blue Flycatcher"
"205","Cape Robin-Chat"
"206","Collared Palm-Thrush"
"207","White-browed Bush-Robin"
"208","Collared Bush-Robin"
"209","Snowy-browed Flycatcher"
"210","Blue-capped Rock-Thrush"
"211","Blue Rock-Thrush"
"212","Cape Rock-Thrush"
"213","Pied Bushchat"
"214","Brown Rock Chat"
"215","Palmchat"
"216","Cape Sugarbird"
"217","Cape Weaver"
"218","Baya Weaver"
"219","House Sparrow"
"220","Dead Sea Sparrow"
"221","Cape Sparrow"
"222","Rock Sparrow"
"223","Cape Wagtail"
"224","Paddyfield Pipit"
"225","Water Pipit"
"226","Rock Pipit"
"227","Scrub Euphonia"
"228","House Finch"
"229","White-rumped Seedeater"
"230","Reichenow's Seedeater"
"231","Streaky Seedeater"
"232","Streaky-headed Seedeater"
"233","Brown-rumped Seedeater"
"234","Cape Siskin"
"235","Island Canary"
"236","Cape Canary"
"237","Rock Bunting"
"238","Cape Bunting"
"239","House Bunting"
"240","Reed Bunting"
"241","Grasshopper Sparrow"
"242","Grassland Sparrow"
"243","Black-headed Brushfinch"
"244","Gray-browed Brushfinch"
"245","Green-striped Brushfinch"
"246","Chestnut-capped Brushfinch"
"247","Seaside Sparrow"
"248","Saltmarsh Sparrow"
"249","Swamp Sparrow"
"250","Rusty-crowned Ground-Sparrow"
"251","White-eared Ground-Sparrow"
"252","White-faced Ground-Sparrow"
"253","Rufous-capped Brushfinch"
"254","White-naped Brushfinch"
"255","Moustached Brushfinch"
"256","Ochre-breasted Brushfinch"
"257","Slaty Brushfinch"
"258","Pale-naped Brushfinch"
"259","Rusty-bellied Brushfinch"
"260","Cuzco Brushfinch"
"261","Black-faced Brushfinch"
"262","Black-crowned Palm-Tanager"
"263","Bahama Oriole"
"264","Scrub Blackbird"
"265","Carib Grackle"
"266","Grayish Baywing"
"267","Yellow-rumped Marshbird"
"268","Brown-and-yellow Marshbird"
"269","Worm-eating Warbler"
"270","Louisiana Waterthrush"
"271","Northern Waterthrush"
"272","Cape May Warbler"
"273","Tropical Parula"
"274","Bay-breasted Warbler"
"275","Palm Warbler"
"276","Riverbank Warbler"
"277","Grass-green Tanager"
"278","Palm Tanager"
"279","Scrub Tanager"
"280","Bay-headed Tanager"
"281","Glacier Finch"
"282","Long-tailed Reed Finch"
"283","Grassland Yellow-Finch"
"284","Wedge-tailed Grass-Finch"
"285","Blue-black Grassquit"
"286","Lined Seedeater"
"287","White-bellied Seedeater"
"288","Parrot-billed Seedeater"
"289","Chestnut-throated Seedeater"
"290","Drab Seedeater"
"291","Chestnut-bellied Seedeater"
"292","Ruddy-breasted Seedeater"
"293","Tawny-bellied Seedeater"
"294","Thick-billed Seed-Finch"
"295","Chestnut-bellied Seed-Finch"
"296","Variable Seedeater"
"297","Gray Seedeater"
"298","Wing-barred Seedeater"
"299","Caqueta Seedeater"
"300","Morelet's Seedeater"
"301","Cinnamon-rumped Seedeater"
"302","Black-and-white Seedeater"
"303","Yellow-bellied Seedeater"
"304","Double-collared Seedeater"
"305","Slate-colored Seedeater"
"306","Plumbeous Seedeater"
"307","Rusty-collared Seedeater"
"308","Band-tailed Seedeater"
"309","Plain-colored Seedeater"
"310","Yellow-faced Grassquit"
"311","Yellow-shouldered Grassquit"
"312","Cuban Grassquit"
"313","Black-faced Grassquit"
"314","Dull-colored Grassquit"
"315",NA
