"","X","MUTIscore","SciName_MUTI","CommonName_MUTI","Species_eBird","Species_Jetz","Family_Jetz","Order_Jetz","CommonName_UAI","aveUAI.x","Order_eBird","Species_BirdLife","family","family.MUTI","Species_UN","Urban","Family_UN_only","Family_all","Family","BLFamilyEnglish.x","Coastal","Notes","Species","IOCOrder","BLFamilyLatin","BLFamilyEnglish.y","Scientific","English","CoastalSp","aveUAI.y"
"11",171,-1.465331271,"Falco mexicanus","Prairie Falcon","Falco mexicanus","Falco mexicanus","Falconidae","Falconiformes","Prairie Falcon",0.978760431,"Falconiformes","Falco mexicanus","Falconidae","Falconidae","Falco mexicanus","N","","Falconidae","Falconidae","Falcons and caracaras","","INVESTIGATE","Falco_mexicanus","Falconiformes","Falconidae","Falcons and caracaras","Falco mexicanus","Prairie Falcon","",0.978760431
"12",234,NA,NA,NA,"Accipiter badius","Accipiter badius","Accipitridae","Accipitriformes","Shikra",2.070468576,"Accipitriformes","Accipiter badius",NA,NA,"Accipiter badius","U","","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Accipiter_badius","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Accipiter badius","Shikra","",2.070468576
"13",235,NA,NA,NA,"Accipiter cirrocephalus","Accipiter cirrocephalus","Accipitridae","Accipitriformes","Collared Sparrowhawk",1.43878721,"Accipitriformes","Accipiter cirrocephalus",NA,NA,"Accipiter cirrocephalus","U","","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Accipiter_cirrocephalus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Accipiter cirrocephalus","Collared Sparrowhawk","",1.43878721
"14",236,NA,NA,NA,"Accipiter fasciatus","Accipiter fasciatus","Accipitridae","Accipitriformes","Brown Goshawk",1.47249812,"Accipitriformes","Accipiter fasciatus",NA,NA,"Accipiter fasciatus","U","","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Accipiter_fasciatus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Accipiter fasciatus","Brown Goshawk","",1.47249812
"15",238,NA,NA,NA,"Accipiter striatus","Accipiter striatus","Accipitridae","Accipitriformes","Sharp-shinned Hawk",1.822389331,"Accipitriformes","Accipiter striatus",NA,NA,"Accipiter striatus","N","","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Accipiter_striatus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Accipiter striatus","Sharp-shinned Hawk","",1.822389331
"16",239,NA,NA,NA,"Buteo buteo","Buteo buteo","Accipitridae","Accipitriformes","Common Buzzard",1.225068333,"Accipitriformes","Buteo buteo",NA,NA,"Buteo buteo","U","","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Buteo_buteo","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Buteo buteo","Common Buzzard","",1.225068333
"17",240,NA,NA,NA,"Buteo lagopus","Buteo lagopus","Accipitridae","Accipitriformes","Rough-legged Hawk",1.018369228,"Accipitriformes","Buteo lagopus",NA,NA,"Buteo lagopus","N","","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Buteo_lagopus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Buteo lagopus","Rough-legged Hawk","Yes",1.018369228
"18",297,NA,NA,NA,"Falco berigora","Falco berigora","Falconidae","Falconiformes","Brown Falcon",0.555342499,"Falconiformes","Falco berigora",NA,NA,"Falco berigora","N","","Falconidae","Falconidae","Falcons and caracaras","","INVESTIGATE","Falco_berigora","Falconiformes","Falconidae","Falcons and caracaras","Falco berigora","Brown Falcon","",0.555342499
"19",298,NA,NA,NA,"Falco cenchroides","Falco cenchroides","Falconidae","Falconiformes","Nankeen Kestrel",1.106892467,"Falconiformes","Falco cenchroides",NA,NA,"Falco cenchroides","U","","Falconidae","Falconidae","Falcons and caracaras","","INVESTIGATE","Falco_cenchroides","Falconiformes","Falconidae","Falcons and caracaras","Falco cenchroides","Nankeen Kestrel","Yes",1.106892467
"20",299,NA,NA,NA,"Falco naumanni","Falco naumanni","Falconidae","Falconiformes","Lesser Kestrel",1.642719677,"Falconiformes","Falco naumanni",NA,NA,"Falco naumanni","U","","Falconidae","Falconidae","Falcons and caracaras","","INVESTIGATE","Falco_naumanni","Falconiformes","Falconidae","Falcons and caracaras","Falco naumanni","Lesser Kestrel","",1.642719677
"21",300,NA,NA,NA,"Falco peregrinus","Falco peregrinus","Falconidae","Falconiformes","Peregrine Falcon",1.974832947,"Falconiformes","Falco peregrinus",NA,NA,"Falco peregrinus","U","","Falconidae","Falconidae","Falcons and caracaras","","INVESTIGATE","Falco_peregrinus","Falconiformes","Falconidae","Falcons and caracaras","Falco peregrinus","Peregrine Falcon","Yes",1.974832947
"22",537,0.911774813,"Cathartes aura","Turkey Vulture","Cathartes aura","Cathartes aura","Cathartidae","Accipitriformes","Turkey Vulture",1.405658159,"Cathartiformes","Cathartes aura","Cathartidae","Cathartidae",NA,NA,"","Cathartidae","Cathartidae","New World vultures","","INVESTIGATE","Cathartes_aura","Accipitriformes","Cathartidae","New World vultures","Cathartes aura","Turkey Vulture","",1.405658159
"23",538,2.08984821,"Pandion haliaetus","Osprey","Pandion haliaetus","Pandion haliaetus","Accipitridae","Accipitriformes","Osprey",1.654413034,"Accipitriformes","Pandion haliaetus","Pandionidae","Pandionidae",NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Pandion_haliaetus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Pandion haliaetus","Osprey","Yes",1.654413034
"24",539,-1.356633429,"Circus hudsonius","Northern Harrier","Circus hudsonius","Circus cyaneus","Accipitridae","Accipitriformes","Northern Harrier",1.013043303,"Accipitriformes","Circus hudsonius","Accipitridae","Accipitridae",NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Circus_cyaneus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Circus cyaneus","Northern Harrier","Yes",1.013043303
"25",540,0.101048078,"Haliaeetus leucocephalus","Bald Eagle","Haliaeetus leucocephalus","Haliaeetus leucocephalus","Accipitridae","Accipitriformes","Bald Eagle",1.44947834,"Accipitriformes","Haliaeetus leucocephalus","Accipitridae","Accipitridae",NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Haliaeetus_leucocephalus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Haliaeetus leucocephalus","Bald Eagle","Yes",1.44947834
"26",541,0.857122733,"Ictinia mississippiensis","Mississippi Kite","Ictinia mississippiensis","Ictinia mississippiensis","Accipitridae","Accipitriformes","Mississippi Kite",2.189587003,"Accipitriformes","Ictinia mississippiensis","Accipitridae","Accipitridae",NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Ictinia_mississippiensis","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Ictinia mississippiensis","Mississippi Kite","",2.189587003
"27",696,NA,NA,NA,"Accipiter brevipes","Accipiter brevipes","Accipitridae","Accipitriformes","Levant Sparrowhawk",2.961498189,"Accipitriformes","Accipiter brevipes",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Accipiter_brevipes","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Accipiter brevipes","Levant Sparrowhawk","",2.961498189
"28",697,NA,NA,NA,"Accipiter gentilis","Accipiter gentilis","Accipitridae","Accipitriformes","Northern Goshawk",1.653420419,"Accipitriformes","Accipiter gentilis",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Accipiter_gentilis","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Accipiter gentilis","Northern Goshawk","",1.653420419
"29",698,NA,NA,NA,"Accipiter gularis","Accipiter gularis","Accipitridae","Accipitriformes","Japanese Sparrowhawk",2.472802841,"Accipitriformes","Accipiter gularis",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Accipiter_gularis","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Accipiter gularis","Japanese Sparrowhawk","",2.472802841
"30",699,NA,NA,NA,"Accipiter melanoleucus","Accipiter melanoleucus","Accipitridae","Accipitriformes","Black Goshawk",2.064683248,"Accipitriformes","Accipiter melanoleucus",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Accipiter_melanoleucus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Accipiter melanoleucus","Black Goshawk","",2.064683248
"31",700,NA,NA,NA,"Accipiter nisus","Accipiter nisus","Accipitridae","Accipitriformes","Eurasian Sparrowhawk",1.854832984,"Accipitriformes","Accipiter nisus",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Accipiter_nisus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Accipiter nisus","Eurasian Sparrowhawk","",1.854832984
"32",704,NA,NA,NA,"Accipiter tachiro","Accipiter tachiro","Accipitridae","Accipitriformes","African Goshawk",1.670355626,"Accipitriformes","Accipiter tachiro",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Accipiter_tachiro","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Accipiter tachiro","African Goshawk","Yes",1.670355626
"33",705,NA,NA,NA,"Accipiter trivirgatus","Accipiter trivirgatus","Accipitridae","Accipitriformes","Crested Goshawk",2.85972743,"Accipitriformes","Accipiter trivirgatus",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Accipiter_trivirgatus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Accipiter trivirgatus","Crested Goshawk","",2.85972743
"34",706,NA,NA,NA,"Accipiter virgatus","Accipiter virgatus","Accipitridae","Accipitriformes","Besra",2.076683786,"Accipitriformes","Accipiter virgatus",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Accipiter_virgatus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Accipiter virgatus","Besra","Yes",2.076683786
"35",707,NA,NA,NA,"Aegypius monachus","Aegypius monachus","Accipitridae","Accipitriformes","Cinereous Vulture",1.417262379,"Accipitriformes","Aegypius monachus",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Aegypius_monachus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Aegypius monachus","Cinereous Vulture","",1.417262379
"36",709,NA,NA,NA,"Aquila audax","Aquila audax","Accipitridae","Accipitriformes","Wedge-tailed Eagle",0.542604742,"Accipitriformes","Aquila audax",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Aquila_audax","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Aquila audax","Wedge-tailed Eagle","",0.542604742
"37",710,NA,NA,NA,"Aquila chrysaetos","Aquila chrysaetos","Accipitridae","Accipitriformes","Golden Eagle",0.833531358,"Accipitriformes","Aquila chrysaetos",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Aquila_chrysaetos","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Aquila chrysaetos","Golden Eagle","Yes",0.833531358
"38",711,NA,NA,NA,"Clanga clanga","Aquila clanga","Accipitridae","Accipitriformes","Greater Spotted Eagle",1.754912619,"Accipitriformes","Clanga clanga",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Aquila_clanga","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Aquila clanga","Greater Spotted Eagle","Yes",1.754912619
"39",712,NA,NA,NA,"Aquila fasciata","Aquila fasciatus","Accipitridae","Accipitriformes","Bonelli's Eagle",1.12587868,"Accipitriformes","Aquila fasciata",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Aquila_fasciatus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Aquila fasciatus","Bonelli's Eagle","",1.12587868
"40",713,NA,NA,NA,"Clanga hastata","Aquila hastata","Accipitridae","Accipitriformes","Indian Spotted Eagle",1.490141911,"Accipitriformes","Clanga hastata",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Aquila_hastata","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Aquila hastata","Indian Spotted Eagle","",1.490141911
"41",715,NA,NA,NA,"Aquila nipalensis","Aquila nipalensis","Accipitridae","Accipitriformes","Steppe Eagle",1.655326498,"Accipitriformes","Aquila nipalensis",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Aquila_nipalensis","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Aquila nipalensis","Steppe Eagle","",1.655326498
"42",716,NA,NA,NA,"Clanga pomarina","Aquila pomarina","Accipitridae","Accipitriformes","Lesser Spotted Eagle",1.800533558,"Accipitriformes","Clanga pomarina",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Aquila_pomarina","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Aquila pomarina","Lesser Spotted Eagle","",1.800533558
"43",717,NA,NA,NA,"Aquila rapax","Aquila rapax","Accipitridae","Accipitriformes","Tawny Eagle",0.914974317,"Accipitriformes","Aquila rapax",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Aquila_rapax","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Aquila rapax","Tawny Eagle","",0.914974317
"44",718,NA,NA,NA,"Aquila verreauxii","Aquila verreauxii","Accipitridae","Accipitriformes","Verreaux's Eagle",1.211401318,"Accipitriformes","Aquila verreauxii",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Aquila_verreauxii","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Aquila verreauxii","Verreaux's Eagle","",1.211401318
"45",719,NA,NA,NA,"Hieraaetus wahlbergi","Aquila wahlbergi","Accipitridae","Accipitriformes","Wahlberg's Eagle",0.738571399,"Accipitriformes","Hieraaetus wahlbergi",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Aquila_wahlbergi","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Aquila wahlbergi","Wahlberg's Eagle","",0.738571399
"46",720,NA,NA,NA,"Aviceda jerdoni","Aviceda jerdoni","Accipitridae","Accipitriformes","Jerdon's Baza",3.713046242,"Accipitriformes","Aviceda jerdoni",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Aviceda_jerdoni","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Aviceda jerdoni","Jerdon's Baza","Yes",3.713046242
"47",721,NA,NA,NA,"Aviceda leuphotes","Aviceda leuphotes","Accipitridae","Accipitriformes","Black Baza",2.55186238,"Accipitriformes","Aviceda leuphotes",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Aviceda_leuphotes","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Aviceda leuphotes","Black Baza","Yes",2.55186238
"48",722,NA,NA,NA,"Aviceda subcristata","Aviceda subcristata","Accipitridae","Accipitriformes","Pacific Baza",1.387799132,"Accipitriformes","Aviceda subcristata",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Aviceda_subcristata","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Aviceda subcristata","Pacific Baza","Yes",1.387799132
"49",723,NA,NA,NA,"Busarellus nigricollis","Busarellus nigricollis","Accipitridae","Accipitriformes","Black-collared Hawk",1.407593623,"Accipitriformes","Busarellus nigricollis",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Busarellus_nigricollis","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Busarellus nigricollis","Black-collared Hawk","Yes",1.407593623
"50",725,NA,NA,NA,"Butastur teesa","Butastur teesa","Accipitridae","Accipitriformes","White-eyed Buzzard",1.231746797,"Accipitriformes","Butastur teesa",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Butastur_teesa","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Butastur teesa","White-eyed Buzzard","",1.231746797
"51",726,NA,NA,NA,"Buteo albigula","Buteo albigula","Accipitridae","Accipitriformes","White-throated Hawk",0.260708445,"Accipitriformes","Buteo albigula",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Buteo_albigula","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Buteo albigula","White-throated Hawk","",0.260708445
"52",727,NA,NA,NA,"Buteo augur","Buteo augur","Accipitridae","Accipitriformes","Augur Buzzard",1.161365582,"Accipitriformes","Buteo augur",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Buteo_augur","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Buteo augur","Augur Buzzard","",1.161365582
"53",728,NA,NA,NA,"Buteo brachypterus","Buteo brachypterus","Accipitridae","Accipitriformes","Madagascar Buzzard",0.050486367,"Accipitriformes","Buteo brachypterus",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Buteo_brachypterus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Buteo brachypterus","Madagascar Buzzard","",0.050486367
"54",729,NA,NA,NA,"Buteo brachyurus","Buteo brachyurus","Accipitridae","Accipitriformes","Short-tailed Hawk",1.554134227,"Accipitriformes","Buteo brachyurus",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Buteo_brachyurus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Buteo brachyurus","Short-tailed Hawk","",1.554134227
"55",730,NA,NA,NA,"Buteo japonicus","Buteo buteo","Accipitridae","Accipitriformes","Eastern Buzzard",2.154047552,"Accipitriformes","Buteo japonicus",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Buteo_buteo","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Buteo buteo","Common Buzzard","",1.225068333
"56",731,NA,NA,NA,"Rupornis magnirostris","Buteo magnirostris","Accipitridae","Accipitriformes","Roadside Hawk",1.717914126,"Accipitriformes","Rupornis magnirostris",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Buteo_magnirostris","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Buteo magnirostris","Roadside Hawk","",1.717914126
"57",734,NA,NA,NA,"Buteo ridgwayi","Buteo ridgwayi","Accipitridae","Accipitriformes","Ridgway's Hawk",0.026779846,"Accipitriformes","Buteo ridgwayi",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Buteo_ridgwayi","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Buteo ridgwayi","Ridgway's Hawk","",0.026779846
"58",735,NA,NA,NA,"Buteo rufinus","Buteo rufinus","Accipitridae","Accipitriformes","Long-legged Buzzard",1.23005876,"Accipitriformes","Buteo rufinus",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Buteo_rufinus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Buteo rufinus","Long-legged Buzzard","",1.23005876
"59",736,NA,NA,NA,"Buteo rufofuscus","Buteo rufofuscus","Accipitridae","Accipitriformes","Jackal Buzzard",0.92270469,"Accipitriformes","Buteo rufofuscus",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Buteo_rufofuscus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Buteo rufofuscus","Jackal Buzzard","",0.92270469
"60",739,NA,NA,NA,"Buteogallus meridionalis","Buteogallus meridionalis","Accipitridae","Accipitriformes","Savanna Hawk",1.100144156,"Accipitriformes","Buteogallus meridionalis",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Buteogallus_meridionalis","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Buteogallus meridionalis","Savanna Hawk","Yes",1.100144156
"61",741,NA,NA,NA,"Chondrohierax uncinatus","Chondrohierax uncinatus","Accipitridae","Accipitriformes","Hook-billed Kite",1.552151596,"Accipitriformes","Chondrohierax uncinatus",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Chondrohierax_uncinatus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Chondrohierax uncinatus","Hook-billed Kite","Yes",1.552151596
"62",742,NA,NA,NA,"Circaetus gallicus","Circaetus gallicus","Accipitridae","Accipitriformes","Short-toed Snake-Eagle",1.171357268,"Accipitriformes","Circaetus gallicus",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Circaetus_gallicus","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Circaetus gallicus","Short-toed Snake-eagle","",1.171357268
"63",744,NA,NA,NA,"Circus approximans","Circus approximans","Accipitridae","Accipitriformes","Swamp Harrier",0.729766865,"Accipitriformes","Circus approximans",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Circus_approximans","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Circus approximans","Swamp Harrier","Yes",0.729766865
"64",745,NA,NA,NA,"Circus assimilis","Circus assimilis","Accipitridae","Accipitriformes","Spotted Harrier",0.77673743,"Accipitriformes","Circus assimilis",NA,NA,NA,NA,"","Accipitridae","Accipitridae","Osprey, kites, hawks and eagles","","INVESTIGATE","Circus_assimilis","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles","Circus assimilis","Spotted Harrier","Yes",0.77673743
