"","MUTIscore","SciName_MUTI","CommonName_MUTI","Species_eBird","Species_Jetz","Family_Jetz","CommonName_UAI","aveUAI","Species_BirdLife","Species_UN","Urban","family.MUTI","Family_all","Species","English","Coastal"
"28",3.131330644,"Cygnus olor","Mute Swan","Cygnus olor","Cygnus olor","Anatidae","Mute Swan",1.717957775,"Cygnus olor","Cygnus olor","U","Anatidae","Anatidae","Cygnus_olor",NA,"Yes"
"29",-0.937337458,"Cygnus buccinator","Trumpeter Swan","Cygnus buccinator","Cygnus buccinator","Anatidae","Trumpeter Swan",1.448204583,"Cygnus buccinator","Cygnus buccinator","N","Anatidae","Anatidae","Cygnus_buccinator",NA,"Yes"
"30",1.830146203,"Anas platyrhynchos","Mallard","Anas platyrhynchos","Anas platyrhynchos","Anatidae","Mallard",2.027289854,"Anas platyrhynchos","Anas platyrhynchos","U","Anatidae","Anatidae","Anas_platyrhynchos",NA,"Yes"
"31",0.251627341,"Anas rubripes","American Black Duck","Anas rubripes","Anas rubripes","Anatidae","American Black Duck",2.08335016,"Anas rubripes","Anas rubripes","N","Anatidae","Anatidae","Anas_rubripes",NA,"Yes"
"32",-1.631365837,"Anas acuta","Northern Pintail","Anas acuta","Anas acuta","Anatidae","Northern Pintail",1.455304569,"Anas acuta","Anas acuta","N","Anatidae","Anatidae","Anas_acuta",NA,"Yes"
"33",-1.499926389,"Anas crecca","Green-winged Teal","Anas crecca","Anas crecca","Anatidae","Green-winged Teal",1.56755625,"Anas crecca","Anas crecca","N","Anatidae","Anatidae","Anas_crecca",NA,"Yes"
"34",-0.875336956,"Rallus elegans","King Rail","Rallus elegans","Rallus elegans","Rallidae","King Rail",0.782483041,"Rallus elegans","Rallus elegans","N","Rallidae","Rallidae","Rallus_elegans",NA,"Yes"
"35",1.764891207,"Rallus limicola","Virginia Rail","Rallus limicola","Rallus limicola","Rallidae","Virginia Rail",1.432352176,"Rallus limicola","Rallus limicola","N","Rallidae","Rallidae","Rallus_limicola",NA,"Yes"
"36",-0.187335688,"Fulica americana","American Coot","Fulica americana","Fulica americana","Rallidae","American Coot",1.853317322,"Fulica americana","Fulica americana","N","Rallidae","Rallidae","Fulica_americana",NA,"Yes"
"37",1.751377692,"Charadrius vociferus","Killdeer","Charadrius vociferus","Charadrius vociferus","Charadriidae","Killdeer",1.597917689,"Charadrius vociferus","Charadrius vociferus","U","Charadriidae","Charadriidae","Charadrius_vociferus",NA,"Yes"
"38",1.751377692,"Charadrius vociferus","Killdeer","Charadrius vociferus","Charadrius vociferus","Charadriidae","Killdeer",1.597917689,"Charadrius vociferus","Charadrius vociferus","U","Charadriidae","Charadriidae","Charadrius_vociferus",NA,"Yes"
"39",0.028754769,"Charadrius melodus","Piping Plover","Charadrius melodus","Charadrius melodus","Charadriidae","Piping Plover",1.337630165,"Charadrius melodus","Charadrius melodus","N","Charadriidae","Charadriidae","Charadrius_melodus",NA,"Yes"
"40",0.028754769,"Charadrius melodus","Piping Plover","Charadrius melodus","Charadrius melodus","Charadriidae","Piping Plover",1.337630165,"Charadrius melodus","Charadrius melodus","N","Charadriidae","Charadriidae","Charadrius_melodus",NA,"Yes"
"41",-1.272321192,"Charadrius wilsonia","Wilson's Plover","Charadrius wilsonia","Charadrius wilsonia","Charadriidae","Wilson's Plover",1.08873466,"Charadrius wilsonia","Charadrius wilsonia","N","Charadriidae","Charadriidae","Charadrius_wilsonia",NA,"Yes"
"42",-1.272321192,"Charadrius wilsonia","Wilson's Plover","Charadrius wilsonia","Charadrius wilsonia","Charadriidae","Wilson's Plover",1.08873466,"Charadrius wilsonia","Charadrius wilsonia","N","Charadriidae","Charadriidae","Charadrius_wilsonia",NA,"Yes"
"43",-1.124774004,"Numenius americanus","Long-billed Curlew","Numenius americanus","Numenius americanus","Scolopacidae","Long-billed Curlew",0.827842842,"Numenius americanus","Numenius americanus","N","Scolopacidae","Scolopacidae","Numenius_americanus",NA,"Yes"
"44",-1.124774004,"Numenius americanus","Long-billed Curlew","Numenius americanus","Numenius americanus","Scolopacidae","Long-billed Curlew",0.827842842,"Numenius americanus","Numenius americanus","N","Scolopacidae","Scolopacidae","Numenius_americanus",NA,"Yes"
"45",-0.176511505,"Larus canus","Common Gull","Larus canus","Larus canus","Laridae","Common Gull",2.104562661,"Larus canus","Larus canus","N","Laridae","Laridae","Larus_canus",NA,"Yes"
"46",1.032504966,"Larus delawarensis","Ring-billed Gull","Larus delawarensis","Larus delawarensis","Laridae","Ring-billed Gull",2.001399756,"Larus delawarensis","Larus delawarensis","U","Laridae","Laridae","Larus_delawarensis",NA,"Yes"
"47",5.461078652,"Larus occidentalis","Western Gull","Larus occidentalis","Larus occidentalis","Laridae","Western Gull",2.037824352,"Larus occidentalis","Larus occidentalis","N","Laridae","Laridae","Larus_occidentalis",NA,"Yes"
"48",2.578304238,"Larus californicus","California Gull","Larus californicus","Larus californicus","Laridae","California Gull",1.911286272,"Larus californicus","Larus californicus","U","Laridae","Laridae","Larus_californicus",NA,"Yes"
"49",-0.115938089,"Larus argentatus","Herring Gull","Larus argentatus","Larus argentatus","Laridae","Herring Gull",2.182297992,"Larus argentatus","Larus argentatus","U","Laridae","Laridae","Larus_argentatus",NA,"Yes"
