IOCOrder,BLFamilyLatin,BLFamilyEnglish,Species,Scientific,English,CoastalSp,aveUAI
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Ictinaetus_malayensis,Ictinaetus malayensis,Black Eagle,,0.603969485
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Geranoaetus_melanoleucus,Geranoaetus melanoleucus,Black-chested Buzzard-eagle,,0.628033581
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Spilornis_holospilus,Spilornis holospilus,Philippine Serpent-eagle,,0.64281722
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Circus_pygargus,Circus pygargus,Montagu's Harrier,,0.659669215
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Circus_cinereus,Circus cinereus,Cinereous Harrier,,0.688014712
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Milvus_milvus,Milvus milvus,Red Kite,,0.719705747
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Spizaetus_ornatus,Spizaetus ornatus,Ornate Hawk-eagle,,0.725530997
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Circus_approximans,Circus approximans,Swamp Harrier,Yes,0.729766865
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Aquila_wahlbergi,Aquila wahlbergi,Wahlberg's Eagle,,0.738571399
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Spizaetus_tyrannus,Spizaetus tyrannus,Black Hawk-eagle,,0.776402857
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Circus_assimilis,Circus assimilis,Spotted Harrier,Yes,0.77673743
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Circus_ranivorus,Circus ranivorus,African Marsh-harrier,Yes,0.779258739
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Haliaeetus_albicilla,Haliaeetus albicilla,White-tailed Eagle,Yes,0.779958423
Accipitriformes,Accipitridae,"Osprey, kites, hawks and eagles",Aquila_chrysaetos,Aquila chrysaetos,Golden Eagle,Yes,0.833531358
