"","X","Family","BLFamilyLatin","BLFamilyEnglish","Coastal","Notes"
"95",95,"Eurypygidae","Eurypygidae","Sunbittern","",""
"96",96,"Cracidae","Cracidae","Guans and curassows","",""
"97",97,"Megapodiidae","Megapodiidae","Megapodes","",""
"98",98,"Numididae","Numididae","Guineafowl","",""
"99",99,"Aramidae","Aramidae","Limpkin","",""
"100",100,"Leptosomidae","Leptosomidae","Cuckoo-Roller","",""
"101",101,"Musophagidae","Musophagidae","Turacos","",""
"102",102,"Opisthocomidae","Opisthocomidae","Hoatzin","",""
"103",103,"Otididae","Otididae","Bustards","",""
"104",104,"Acanthisittidae","Acanthisittidae","New Zealand wrens","",""
"105",105,"Aegithinidae","Aegithinidae","Ioras","",""
"106",106,"Artamidae","Artamidae","Woodswallows","",""
"107",107,"Callaeatidae","Callaeatidae","Wattled crows","",""
"108",108,"Campephagidae","Campephagidae","Cuckoo-shrikes","",""
"109",109,"Chloropseidae","Chloropseidae","Leafbirds","",""
"110",110,"Cinclosomatidae","Cinclosomatidae","Quail-thrushes","",""
"111",111,"Cisticolidae","Cisticolidae","Cisticolas and allies","",""
"112",112,"Climacteridae","Climacteridae","Australian treecreepers","",""
"113",113,"Coerebidae","Coerebidae","Bananaquit","",""
"114",114,"Conopophagidae","Conopophagidae","Gnateaters","",""
"115",115,"Corcoracidae","Corcoracidae","Australian mudnesters","",""
"116",116,"Cotingidae","Cotingidae","Cotingas","",""
"117",117,"Cracticidae","Cracticidae","Butcherbirds","",""
"118",118,"Dasyornithidae","Dasyornithidae","Bristlebirds","",""
"119",119,"Dendrocolaptidae","Dendrocolaptidae","Woodcreepers","",""
"120",120,"Dicaeidae","Dicaeidae","Flowerpeckers","",""
"121",121,"Dicruridae","Dicruridae","Drongos","",""
"122",122,"Dulidae","Dulidae","Palmchat","",""
"123",123,"Estrildidae","Estrildidae","Waxbills, grass finches, munias and allies","",""
"124",124,"Eupetidae","Eupetidae","Whipbirds, wedgebills and jewel-babblers","",""
"125",125,"Eurylaimidae","Eurylaimidae","Broadbills","",""
"126",126,"Falcunculidae","Falcunculidae","Shrike-tits","",""
"127",127,"Formicariidae","Formicariidae","Antthrushes and antpittas","",""
"128",128,"Furnariidae","Furnariidae","Ovenbirds","",""
"129",129,"Irenidae","Irenidae","Fairy-bluebirds","",""
"130",130,"Malaconotidae","Malaconotidae","Helmetshrikes, bushshrikes and puffbacks","",""
"131",131,"Menuridae","Menuridae","Lyrebirds","",""
"132",132,"Monarchidae","Monarchidae","Monarchs","",""
"133",133,"Nectariniidae","Nectariniidae","Sunbirds","",""
"134",134,"Neosittidae","Neosittidae","Sittellas","",""
"135",135,"Oriolidae","Oriolidae","Orioles and figbirds","",""
"136",136,"Orthonychidae","Orthonychidae","Logrunners","",""
"137",137,"Paradisaeidae","Paradisaeidae","Birds of paradise","",""
"138",138,"Pardalotidae","Pardalotidae","Pardalotes","",""
"139",139,"Peucedramidae","Peucedramidae","Olive Warbler","",""
"140",140,"Pipridae","Pipridae","Manakins","",""
"141",141,"Pittidae","Pittidae","Pittas","",""
"142",142,"Platysteiridae","Platysteiridae","Shrike-flycatchers, wattle-eyes and batises","",""
"143",143,"Ploceidae","Ploceidae","Weavers and allies","",""
"144",144,"Pomatostomidae","Pomatostomidae","Australasian babblers","",""
"145",145,"Promeropidae","Promeropidae","Sugarbirds","",""
"146",146,"Ptilonorhynchidae","Ptilonorhynchidae","Bowerbirds","",""
"147",147,"Pycnonotidae","Pycnonotidae","Bulbuls","",""
"148",148,"Rhabdornithidae","Rhabdornithidae","Philippine creepers","",""
"149",149,"Rhinocryptidae","Rhinocryptidae","Tapaculos","",""
"150",150,"Thamnophilidae","Thamnophilidae","Antbirds","",""
"151",151,"Thraupidae","Thraupidae","Tanagers","",""
"152",152,"Vangidae","Vangidae","Vangas","",""
"153",153,"Viduidae","Viduidae","Indigobirds and allies","",""
"154",154,"Balaenicipitidae","Balaenicipitidae","Shoebill","",""
"155",155,"Scopidae","Scopidae","Hammerkop","",""
"156",156,"Phaethontidae","Phaethontidae","Tropicbirds","",""
"157",157,"Phoenicopteridae","Phoenicopteridae","Flamingos","Yes","freshwater and beaches"
"158",158,"Bucconidae","Bucconidae","Puffbirds","",""
"159",159,"Galbulidae","Galbulidae","Jacamars","",""
"160",160,"Indicatoridae","Indicatoridae","Honeyguides","",""
"161",161,"Ramphastidae","Ramphastidae","Toucans and barbets","",""
"162",162,"Diomedeidae","Diomedeidae","Albatrosses","Yes",""
"163",163,"Procellariidae","Procellariidae","Petrels and shearwaters","Yes",""
"164",164,"Pteroclididae","Pteroclididae","Sandgrouse","",""
"165",165,"Rheidae","Rheidae","Rheas","",""
"166",166,"Spheniscidae","Spheniscidae","Penguins","Yes",""
"167",167,"Struthionidae","Struthionidae","Ostriches","",""
"168",168,"Anhingidae","Anhingidae","Anhingas","Yes","brackish water sometimes"
"169",169,"Fregatidae","Fregatidae","Frigatebirds","Yes",""
"170",170,"Phalacrocoracidae","Phalacrocoracidae","Cormorants","Yes",""
"171",171,"Sulidae","Sulidae","Gannets and boobies","Yes",""
"172",172,"Tinamidae","Tinamidae","Tinamous","",""
"173",173,"Trogonidae","Trogonidae","Trogons","",""
"174",174,"Passerellidae",NA,NA,NA,NA
"175",175,"Acrocephalidae",NA,NA,NA,NA
"176",176,"Caprimulgidae ",NA,NA,NA,NA
"177",177,"Columbidae ",NA,NA,NA,NA
"178",178,"Psittaculidae ",NA,NA,NA,NA
"179",179,"Scolopacidae ",NA,NA,NA,NA
"180",180,"Phylloscopidae",NA,NA,NA,NA
"181",181,"Sylviidae ",NA,NA,NA,NA
"182",182,"Petroicidae ",NA,NA,NA,NA
"183",183,"Leiothrichidae",NA,NA,NA,NA
"184",184,"Cacatuidae",NA,NA,NA,NA
"185",185,"Cuculidae ",NA,NA,NA,NA
"186",186,"Acrocephalidae ",NA,NA,NA,NA
"187",187,"Pachycephalidae ",NA,NA,NA,NA
"188",188,"Rhipiduridae ",NA,NA,NA,NA
"189",189,"Charadriidae ",NA,NA,NA,NA
"190",190,"Parulidae ",NA,NA,NA,NA
"191",NA,"Casuariidae","Casuariidae","Cassowaries","",""
"192",NA,"Bucorvidae","Bucorvidae","Ground-hornbills","",""
"193",NA,"Brachypteraciidae","Brachypteraciidae","Ground-rollers","",""
"194",NA,"Steatornithidae","Steatornithidae","Oilbird","",""
"195",NA,"Heliornithidae","Heliornithidae","Finfoots","Yes","Coastal lagons, eat mollusks and crustaceans - not in dataset"
"196",NA,"Mesitornithidae","Mesitornithidae","Mesites","",""
"197",NA,"Ibidorhynchidae","Ibidorhynchidae","Ibisbill","","mountains rivers"
"198",NA,"Pelecanoididae","Pelecanoididae","Diving-petrels","Yes",""
"199",NA,"Hydrobatidae","Hydrobatidae","Storm-petrels","Yes",""
"200",NA,"Philepittidae","Philepittidae","Asities","",""
"201",NA,"Atrichornithidae","Atrichornithidae","Scrub-birds","",""
"202",NA,"Cnemophilidae","Cnemophilidae","Satin birds","",""
"203",NA,"Pityriaseidae","Pityriaseidae","Bristlehead","",""
"204",NA,"Machaerirhynchidae","Machaerirhynchidae","Boatbills","",""
"205",NA,"Picathartidae","Picathartidae","Rockfowl","",""
"206",NA,"Melanocharitidae","Melanocharitidae","Berrypeckers","",""
"207",NA,"Urocynchramidae","Urocynchramidae","Pink-tailed Bunting","",""
"208",NA,"Sapayoaidae","Sapayoaidae","Sapayoa","",""
"209",NA,"Psophiidae","Psophiidae","Trumpeters","",""
"210",NA,"Rhynochetidae","Rhynochetidae","Kagu","",""
"211",NA,"Pedionomidae","Pedionomidae","Plains Wanderer","",""
