Family_all,Coastal,Notes,Species,IOCOrder,English,CoastalSp
Accipitridae,No,INVESTIGATE,Elanus_axillaris,Accipitriformes,Black-shouldered Kite,No
Accipitridae,No,INVESTIGATE,Elanus_caeruleus,Accipitriformes,Black-winged Kite,No
Accipitridae,No,INVESTIGATE,Elanus_leucurus,Accipitriformes,White-tailed Kite,No
Accipitridae,No,INVESTIGATE,Gampsonyx_swainsonii,Accipitriformes,Pearl Kite,No
Accipitridae,No,INVESTIGATE,Geranoaetus_melanoleucus,Accipitriformes,Black-chested Buzzard-eagle,No
Accipitridae,No,INVESTIGATE,Harpagus_bidentatus,Accipitriformes,Double-toothed Kite,No
Accipitridae,No,INVESTIGATE,Hieraaetus_morphnoides,Accipitriformes,Little Eagle,No
Accipitridae,No,INVESTIGATE,Hieraaetus_pennatus,Accipitriformes,Booted Eagle,No
Accipitridae,No,INVESTIGATE,Ictinaetus_malayensis,Accipitriformes,Black Eagle,No
Accipitridae,No,INVESTIGATE,Ictinia_plumbea,Accipitriformes,Plumbeous Kite,No
Accipitridae,No,INVESTIGATE,Kaupifalco_monogrammicus,Accipitriformes,Lizard Buzzard,No
Accipitridae,No,INVESTIGATE,Leucopternis_albicollis,Accipitriformes,White Hawk,No
Accipitridae,No,INVESTIGATE,Leucopternis_semiplumbeus,Accipitriformes,Semiplumbeous Hawk,No
Accipitridae,No,INVESTIGATE,Lophaetus_occipitalis,Accipitriformes,Long-crested Eagle,No
Accipitridae,No,INVESTIGATE,Lophoictinia_isura,Accipitriformes,Square-tailed Kite,No
Accipitridae,No,INVESTIGATE,Milvus_milvus,Accipitriformes,Red Kite,No
Accipitridae,No,INVESTIGATE,Necrosyrtes_monachus,Accipitriformes,Hooded Vulture,No
Accipitridae,No,INVESTIGATE,Neophron_percnopterus,Accipitriformes,Egyptian Vulture,No
Accipitridae,No,INVESTIGATE,Nisaetus_alboniger,Accipitriformes,Blyth's Hawk-eagle,No
Accipitridae,No,INVESTIGATE,Nisaetus_cirrhatus,Accipitriformes,Changeable Hawk-eagle,No
Accipitridae,No,INVESTIGATE,Nisaetus_nipalensis,Accipitriformes,Mountain Hawk-eagle,No
Accipitridae,No,INVESTIGATE,Parabuteo_unicinctus,Accipitriformes,Harris's Hawk,No
Accipitridae,No,INVESTIGATE,Pernis_apivorus,Accipitriformes,European Honey-buzzard,No
Accipitridae,No,INVESTIGATE,Pernis_ptilorhyncus,Accipitriformes,Oriental Honey-buzzard,No
Accipitridae,No,INVESTIGATE,Polyboroides_typus,Accipitriformes,African Harrier-hawk,No
Accipitridae,No,INVESTIGATE,Rostrhamus_sociabilis,Accipitriformes,Snail Kite,No
Accipitridae,No,INVESTIGATE,Spilornis_elgini,Accipitriformes,Andaman Serpent-eagle,No
Accipitridae,No,INVESTIGATE,Spilornis_holospilus,Accipitriformes,Philippine Serpent-eagle,No
Accipitridae,No,INVESTIGATE,Spizaetus_isidori,Accipitriformes,Black-and-chestnut Eagle,No
Accipitridae,No,INVESTIGATE,Spizaetus_ornatus,Accipitriformes,Ornate Hawk-eagle,No
Accipitridae,No,INVESTIGATE,Spizaetus_tyrannus,Accipitriformes,Black Hawk-eagle,No
Cathartidae,No,INVESTIGATE,Cathartes_melambrotus,Accipitriformes,Greater Yellow-headed Vulture,No
Cathartidae,No,INVESTIGATE,Sarcoramphus_papa,Accipitriformes,King Vulture,No
Falconidae,No,INVESTIGATE,Falco_amurensis,Falconiformes,Amur Falcon,No
Falconidae,No,INVESTIGATE,Falco_chicquera,Falconiformes,Red-necked Falcon,No
Falconidae,No,INVESTIGATE,Falco_cuvierii,Falconiformes,African Hobby,No
Falconidae,No,INVESTIGATE,Falco_longipennis,Falconiformes,Australian Hobby,No
Falconidae,No,INVESTIGATE,Falco_novaeseelandiae,Falconiformes,New Zealand Falcon,No
Falconidae,No,INVESTIGATE,Falco_rufigularis,Falconiformes,Bat Falcon,No
Falconidae,No,INVESTIGATE,Falco_subbuteo,Falconiformes,Eurasian Hobby,No
Falconidae,No,INVESTIGATE,Herpetotheres_cachinnans,Falconiformes,Laughing Falcon,No
Falconidae,No,INVESTIGATE,Ibycter_americanus,Falconiformes,Red-throated Caracara,No
Falconidae,No,INVESTIGATE,Micrastur_mirandollei,Falconiformes,Slaty-backed Forest-falcon,No
Falconidae,No,INVESTIGATE,Microhierax_erythrogenys,Falconiformes,Philippine Falconet,No
Falconidae,No,INVESTIGATE,Spiziapteryx_circumcincta,Falconiformes,Spot-winged Falconet,No
Falconidae,Yes,mentions of coastal habitat ,Falco_tinnunculus,NA,Eurasian Kestrel,NA
Accipitridae,Yes,migrate along coast ,Butastur_indicus,NA,Gray-faced Buzzard,NA
Accipitridae,Yes,coastal lowlands mentioned,Buteo_polyosoma,NA,Variable Hawk ,NA
Accipitridae,Yes,feeds exclusively on crabs ,Buteogallus_aequinoctialis,NA,Rufous Crab Hawk ,NA
Accipitridae,Yes,always near water - estuaries and coastal mangroves included ,Buteogallus_anthracinus,NA,Common Black Hawk,NA
Accipitridae,Yes,"forage along beach for washed up inverts, eats lots of amphibians, predates tern nesting colonies ",Buteogallus_urubitinga,NA,Great Black Hawk ,NA
Accipitridae,Yes,Brackish marshes ,Circus_aeruginosus,NA,Western Marsh Harrier,NA
Accipitridae,Yes,Brackish marshes and mangroves ,Elanoides_forficatus,NA,Swallow-tailed Kite,NA
Accipitridae,Yes,mangrove swamps and sea coasts,Ichthyophaga_ichthyaetus,NA,Gray-headed Fish-Eagle,NA
Accipitridae,Yes,mangroves,Leucopternis_schistaceus,NA,Slate Colored Hawk,NA
Cathartidae,Yes,coasts and beaches mentioned,Gymnogyps_californianus,NA,California Condor,NA
Accipitridae,Yes,INVESTIGATE,Buteo_jamaicensis,Accipitriformes,Red-tailed Hawk,Yes
Falconidae,Yes,INVESTIGATE,Falco_columbarius,Falconiformes,Merlin,Yes
Accipitridae,Yes,INVESTIGATE,Buteo_lagopus,Accipitriformes,Rough-legged Hawk,Yes
Falconidae,Yes,INVESTIGATE,Falco_cenchroides,Falconiformes,Nankeen Kestrel,Yes
Falconidae,Yes,INVESTIGATE,Falco_peregrinus,Falconiformes,Peregrine Falcon,Yes
Accipitridae,Yes,INVESTIGATE,Pandion_haliaetus,Accipitriformes,Osprey,Yes
Accipitridae,Yes,INVESTIGATE,Circus_cyaneus,Accipitriformes,Northern Harrier,Yes
Accipitridae,Yes,INVESTIGATE,Haliaeetus_leucocephalus,Accipitriformes,Bald Eagle,Yes
Accipitridae,Yes,INVESTIGATE,Accipiter_tachiro,Accipitriformes,African Goshawk,Yes
Accipitridae,Yes,INVESTIGATE,Accipiter_virgatus,Accipitriformes,Besra,Yes
Accipitridae,Yes,INVESTIGATE,Aquila_chrysaetos,Accipitriformes,Golden Eagle,Yes
Accipitridae,Yes,INVESTIGATE,Aquila_clanga,Accipitriformes,Greater Spotted Eagle,Yes
Accipitridae,Yes,INVESTIGATE,Aviceda_jerdoni,Accipitriformes,Jerdon's Baza,Yes
Accipitridae,Yes,INVESTIGATE,Aviceda_leuphotes,Accipitriformes,Black Baza,Yes
Accipitridae,Yes,INVESTIGATE,Aviceda_subcristata,Accipitriformes,Pacific Baza,Yes
Accipitridae,Yes,INVESTIGATE,Busarellus_nigricollis,Accipitriformes,Black-collared Hawk,Yes
Accipitridae,Yes,INVESTIGATE,Buteogallus_meridionalis,Accipitriformes,Savanna Hawk,Yes
Accipitridae,Yes,INVESTIGATE,Chondrohierax_uncinatus,Accipitriformes,Hook-billed Kite,Yes
Accipitridae,Yes,INVESTIGATE,Circus_approximans,Accipitriformes,Swamp Harrier,Yes
Accipitridae,Yes,INVESTIGATE,Circus_assimilis,Accipitriformes,Spotted Harrier,Yes
Accipitridae,Yes,INVESTIGATE,Circus_cyaneus,Accipitriformes,Northern Harrier,Yes
Accipitridae,Yes,INVESTIGATE,Circus_maurus,Accipitriformes,Black Harrier,Yes
