"","Species_Jetz","Species_eBird","Species_BirdLife","Family_eBird","CommonName_eBird","aveUAI","SciName_MUTI","MUTIscore","SciName_UN","Urban","Family_Sci","Family_English","Coastal","Notes"
"25","Larus occidentalis","Larus occidentalis","Larus occidentalis","Laridae (Gulls, Terns, and Skimmers)","Western Gull",2.03782435166667,"Larus occidentalis",5.461078652,"Larus occidentalis",0,"Laridae","(Gulls, Terns, and Skimmers)","Yes",""
"26","Larus californicus","Larus californicus","Larus californicus","Laridae (Gulls, Terns, and Skimmers)","California Gull",1.91128627209091,"Larus californicus",2.578304238,"Larus californicus",1,"Laridae","(Gulls, Terns, and Skimmers)","Yes",""
"27","Larus argentatus","Larus argentatus","Larus argentatus","Laridae (Gulls, Terns, and Skimmers)","Herring Gull",2.18229799218605,"Larus argentatus",-0.115938089,"Larus argentatus",1,"Laridae","(Gulls, Terns, and Skimmers)","Yes",""
"28","Larus marinus","Larus marinus","Larus marinus","Laridae (Gulls, Terns, and Skimmers)","Great Black-backed Gull",1.92219949507143,"Larus marinus",0.608155679,"Larus marinus",1,"Laridae","(Gulls, Terns, and Skimmers)","Yes",""
"29","Sterna antillarum","Sternula antillarum","Sternula antillarum","Laridae (Gulls, Terns, and Skimmers)","Least Tern",1.78144762941667,"Sternula antillarum",0.813419136,"Sterna antillarum",1,"Laridae","(Gulls, Terns, and Skimmers)","Yes",""
"30","Sterna caspia","Hydroprogne caspia","Hydroprogne caspia","Laridae (Gulls, Terns, and Skimmers)","Caspian Tern",1.36962052191111,"Hydroprogne caspia",1.754180696,"Sterna caspia",0,"Laridae","(Gulls, Terns, and Skimmers)","Yes",""
"31","Sterna dougallii","Sterna dougallii","Sterna dougallii","Laridae (Gulls, Terns, and Skimmers)","Roseate Tern",1.47416039633333,"Sterna dougallii",-0.444874983,"Sterna dougallii",0,"Laridae","(Gulls, Terns, and Skimmers)","Yes",""
"32","Sterna hirundo","Sterna hirundo","Sterna hirundo","Laridae (Gulls, Terns, and Skimmers)","Common Tern",1.49798754818182,"Sterna hirundo",0.109427999,"Sterna hirundo",1,"Laridae","(Gulls, Terns, and Skimmers)","Yes",""
"33","Sterna forsteri","Sterna forsteri","Sterna forsteri","Laridae (Gulls, Terns, and Skimmers)","Forster's Tern",1.4859197545,"Sterna forsteri",1.275882455,"Sterna forsteri",0,"Laridae","(Gulls, Terns, and Skimmers)","Yes",""
"34","Sterna maxima","Thalasseus maximus","Thalasseus maximus","Laridae (Gulls, Terns, and Skimmers)","Royal Tern",1.66827760555556,"Thalasseus maximus",-0.891641103,"Sterna maxima",0,"Laridae","(Gulls, Terns, and Skimmers)","Yes",""
"35","Sterna sandvicensis","Thalasseus sandvicensis","Thalasseus sandvicensis","Laridae (Gulls, Terns, and Skimmers)","Sandwich Tern",1.88015339065,"Thalasseus sandvicensis",-1.166634196,"Sterna sandvicensis",0,"Laridae","(Gulls, Terns, and Skimmers)","Yes",""
