"","Species_Jetz","Species_eBird","Species_BirdLife","Family_eBird","CommonName_eBird","aveUAI","SciName_MUTI","MUTIscore","SciName_UN","Urban","Family_Sci","Family_English","Coastal","Notes"
"12","Anser anser","Anser anser","Anser anser","Anatidae (Ducks, Geese, and Waterfowl)","Graylag Goose",1.4097267212,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"13","Anser cygnoides","Anser cygnoides","Anser cygnoid","Anatidae (Ducks, Geese, and Waterfowl)","Swan Goose",2.7788980755,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"14","Anser albifrons","Anser albifrons","Anser albifrons","Anatidae (Ducks, Geese, and Waterfowl)","Greater White-fronted Goose",1.42249683103704,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"15","Anser brachyrhynchus","Anser brachyrhynchus","Anser brachyrhynchus","Anatidae (Ducks, Geese, and Waterfowl)","Pink-footed Goose",1.67081229325,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"16","Branta bernicla","Branta bernicla","Branta bernicla","Anatidae (Ducks, Geese, and Waterfowl)","Brant",1.7208463845,NA,NA,"Branta bernicla","N","Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"17","Branta hutchinsii","Branta hutchinsii","Branta hutchinsii","Anatidae (Ducks, Geese, and Waterfowl)","Cackling Goose",2.05030496123529,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"18","Branta canadensis","Branta canadensis","Branta canadensis","Anatidae (Ducks, Geese, and Waterfowl)","Canada Goose",2.04034880660606,"Branta canadensis",1.477478833,"Branta canadensis","U","Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"19","Branta sandvicensis","Branta sandvicensis","Branta sandvicensis","Anatidae (Ducks, Geese, and Waterfowl)","Hawaiian Goose",0.353057482,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"20","Cereopsis novaehollandiae","Cereopsis novaehollandiae","Cereopsis novaehollandiae","Anatidae (Ducks, Geese, and Waterfowl)","Cape Barren Goose",0.34858631225,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"21","Stictonetta naevosa","Stictonetta naevosa","Stictonetta naevosa","Anatidae (Ducks, Geese, and Waterfowl)","Freckled Duck",1.49676055283333,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"22","Cyanochen cyanoptera","Cyanochen cyanoptera","Cyanochen cyanoptera","Anatidae (Ducks, Geese, and Waterfowl)","Blue-winged Goose",0.313648798,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"23","Cygnus olor","Cygnus olor","Cygnus olor","Anatidae (Ducks, Geese, and Waterfowl)","Mute Swan",1.71795777548148,"Cygnus olor",3.131330644,"Cygnus olor","U","Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"24","Cygnus atratus","Cygnus atratus","Cygnus atratus","Anatidae (Ducks, Geese, and Waterfowl)","Black Swan",1.19337313933333,NA,NA,"Cygnus atratus","U","Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"25","Cygnus melancoryphus","Cygnus melancoryphus","Cygnus melancoryphus","Anatidae (Ducks, Geese, and Waterfowl)","Black-necked Swan",1.4538588945,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"26","Cygnus buccinator","Cygnus buccinator","Cygnus buccinator","Anatidae (Ducks, Geese, and Waterfowl)","Trumpeter Swan",1.448204583375,"Cygnus buccinator",-0.937337458,"Cygnus buccinator","N","Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"27","Cygnus columbianus","Cygnus columbianus","Cygnus columbianus","Anatidae (Ducks, Geese, and Waterfowl)","Tundra Swan",1.1330517548125,NA,NA,"Cygnus columbianus","N","Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"28","Cygnus cygnus","Cygnus cygnus","Cygnus cygnus","Anatidae (Ducks, Geese, and Waterfowl)","Whooper Swan",1.09058194811111,NA,NA,"Cygnus cygnus","N","Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"29","Coscoroba coscoroba","Coscoroba coscoroba","Coscoroba coscoroba","Anatidae (Ducks, Geese, and Waterfowl)","Coscoroba Swan",1.167379347,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"30","Sarkidiornis melanotos","Sarkidiornis melanotos","Sarkidiornis melanotos","Anatidae (Ducks, Geese, and Waterfowl)","Knob-billed Duck",1.32574469666667,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"31","Sarkidiornis melanotos","Sarkidiornis sylvicola","Sarkidiornis sylvicola","Anatidae (Ducks, Geese, and Waterfowl)","Comb Duck",0.227253726,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"32","Chloephaga melanoptera","Oressochen melanopterus","Chloephaga melanoptera","Anatidae (Ducks, Geese, and Waterfowl)","Andean Goose",0.246674384333333,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"33","Chloephaga hybrida","Chloephaga hybrida","Chloephaga hybrida","Anatidae (Ducks, Geese, and Waterfowl)","Kelp Goose",0.299246026,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"34","Chloephaga rubidiceps","Chloephaga rubidiceps","Chloephaga rubidiceps","Anatidae (Ducks, Geese, and Waterfowl)","Ruddy-headed Goose",0.885944113,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
"35","Tadorna radjah","Radjah radjah","Radjah radjah","Anatidae (Ducks, Geese, and Waterfowl)","Radjah Shelduck",0.840510308,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes",""
