animal,urban,humanDisturbed,UTI,tolerance,invasion.potential,Brain,Body,broodValue,HA,DA
Prinia_bairdii,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Prinia_flaviventris,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Prinia_subflava,0,1,-0.0019980026626731373,"NA",NA,NA,NA,NA,0.444444444444444,0.09
Prinia_burnesii,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Prinia_flavicans,0,1,0.027506645789833417,avoider,NA,NA,NA,NA,0.375,0.16
Malcorus_pectoralis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Prinia_gracilis,0,1,-0.1362776182925476,NA,NA,NA,NA,NA,NA,NA
Prinia_crinigera,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Phyllolais_pulchella,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Prinia_inornata,0,1,-0.07232066157962613,avoider,NA,NA,NA,NA,0.45,0
Prinia_atrogularis,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Drymocichla_incana,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Prinia_hodgsonii,0,1,-0.018046062442206523,NA,NA,NA,NA,NA,NA,NA
Prinia_hypoxantha,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Prinia_robertsi,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Prinia_socialis,0,1,-0.013734135337848175,"NA",NA,NA,NA,NA,0.45,0
Prinia_molleri,1,1,NA,NA,NA,NA,NA,NA,NA,NA
Prinia_fluviatilis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Poliolais_lopezi,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Prinia_polychroa,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Prinia_leucopogon,0,1,NA,NA,NA,0.61,13.8,NA,NA,NA
Prinia_leontica,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Prinia_sylvatica,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Oreolais_pulchra,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Oreolais_ruwenzorii,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Artisornis_metopias,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Artisornis_moreaui,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Urolais_epichlorus,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Neomixis_tenella,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Neomixis_striatigula,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Neomixis_viridis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Myzornis_pyrrhoura,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Stachyris_nigricollis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Stachyris_nigrocapitata,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Stachyris_leucotis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Yuhina_castaniceps,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Yuhina_everetti,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Yuhina_brunneiceps,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Yuhina_torqueola,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Yuhina_nigrimenta,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Yuhina_gularis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Yuhina_humilis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Yuhina_occipitalis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Yuhina_bakeri,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Yuhina_flavicollis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Yuhina_diademata,0,1,NA,NA,NA,0.8,12,NA,NA,NA
Stachyris_dennistouni,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Stachyris_capitalis,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Stachyris_plateni,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Dasycrotapha_speciosa,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Stachyris_herberti,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Oculocincta_squamifrons,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Heleia_muelleri,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Heleia_crassirostris,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Stachyris_thoracica,0,0,NA,NA,NA,NA,NA,NA,NA,NA
